layer,expert,region,codec,orig,cbytes,est_bytes,c_ms,d_ms,verified,error,region_sha256,note
0,0,w1w,lz4_fast,4194304,4194339,,6.529510999996546,5.544783999994252,True,,8b8124ab561c2954c4f8d590c60c5478efb7b6726035d1328d89e806988ccceb,
0,0,w1w,zstd_1,4194304,4042574,,17.118296000035116,8.451902999979666,True,,8b8124ab561c2954c4f8d590c60c5478efb7b6726035d1328d89e806988ccceb,
0,0,w1w,zstd_3,4194304,4046876,,34.81270399998948,8.647482000014861,True,,8b8124ab561c2954c4f8d590c60c5478efb7b6726035d1328d89e806988ccceb,
0,0,w1w,nib_split_zstd3,4194304,4364432,,199.5755499999632,33.8984420000088,True,,8b8124ab561c2954c4f8d590c60c5478efb7b6726035d1328d89e806988ccceb,
0,0,w1w,order0,4194304,,4020314.8403921626,,,,,8b8124ab561c2954c4f8d590c60c5478efb7b6726035d1328d89e806988ccceb,
0,0,w1w,order1,4194304,,3929840.529486749,,,,,8b8124ab561c2954c4f8d590c60c5478efb7b6726035d1328d89e806988ccceb,
0,0,w1w,zeros,4194304,,,,,,,8b8124ab561c2954c4f8d590c60c5478efb7b6726035d1328d89e806988ccceb,"{""zero_frac"": 0.0044667720794677734, ""longest_zero_run"": 2, ""distinct_bytes"": 256}"
0,0,w1w,lz4_hc,4194304,4194327,,230.38948100003154,5.15312600003881,True,,8b8124ab561c2954c4f8d590c60c5478efb7b6726035d1328d89e806988ccceb,
0,0,w1w,zstd_10,4194304,4042573,,27.795531999970535,9.562277999975777,True,,8b8124ab561c2954c4f8d590c60c5478efb7b6726035d1328d89e806988ccceb,
0,0,w1w,rans,4194304,4020317,,78.6098649999758,,True,,8b8124ab561c2954c4f8d590c60c5478efb7b6726035d1328d89e806988ccceb,model-excluded; decode ~ encode speed class
0,0,w3w,lz4_fast,4194304,4194339,,1.812127999983204,1.3097539999762375,True,,9b074300e23226efb9632565279943358bb15d522275d8bd077c768c563133b9,
0,0,w3w,zstd_1,4194304,4043531,,13.39767799998981,8.014768999998978,True,,9b074300e23226efb9632565279943358bb15d522275d8bd077c768c563133b9,
0,0,w3w,zstd_3,4194304,4059958,,28.89900000002399,8.738564999987375,True,,9b074300e23226efb9632565279943358bb15d522275d8bd077c768c563133b9,
0,0,w3w,nib_split_zstd3,4194304,4363216,,159.20543700002554,27.863002999993114,True,,9b074300e23226efb9632565279943358bb15d522275d8bd077c768c563133b9,
0,0,w3w,order0,4194304,,4021273.714669764,,,,,9b074300e23226efb9632565279943358bb15d522275d8bd077c768c563133b9,
