prompt,prompt_idx,forward_step,phase,device,requests,vram_hits,vram_cold,vram_evictions,host_hits,host_misses,host_evictions,vram_policy,vram_dtype,persist
q0,0,0,prefill,cuda:0,861,0,861,787,0,861,179,lru,fp16,1
q0,0,0,prefill,cuda:1,781,0,781,707,0,781,99,lru,fp16,1
q0,0,1,decode,cuda:0,132,0,132,132,83,49,49,lru,fp16,1
q0,0,1,decode,cuda:1,126,0,126,126,79,47,47,lru,fp16,1
q0,0,2,decode,cuda:0,132,0,132,132,69,63,63,lru,fp16,1
q0,0,2,decode,cuda:1,126,0,126,126,83,43,43,lru,fp16,1
q0,0,3,decode,cuda:0,132,0,132,132,79,53,53,lru,fp16,1
q0,0,3,decode,cuda:1,126,0,126,126,84,42,42,lru,fp16,1
q0,0,4,decode,cuda:0,132,0,132,132,77,55,55,lru,fp16,1
q0,0,4,decode,cuda:1,126,0,126,126,93,33,33,lru,fp16,1
q0,0,5,decode,cuda:0,132,0,132,132,74,58,58,lru,fp16,1
q0,0,5,decode,cuda:1,126,0,126,126,100,26,26,lru,fp16,1
q0,0,6,decode,cuda:0,132,0,132,132,71,61,61,lru,fp16,1
q0,0,6,decode,cuda:1,126,0,126,126,92,34,34,lru,fp16,1
q0,0,7,decode,cuda:0,132,0,132,132,76,56,56,lru,fp16,1
q0,0,7,decode,cuda:1,126,0,126,126,98,28,28,lru,fp16,1
q0,0,8,decode,cuda:0,132,0,132,132,81,51,51,lru,fp16,1
q0,0,8,decode,cuda:1,126,0,126,126,87,39,39,lru,fp16,1
q0,0,9,decode,cuda:0,132,0,132,132,64,68,68,lru,fp16,1
q0,0,9,decode,cuda:1,126,0,126,126,86,40,40,lru,fp16,1
q0,0,10,decode,cuda:0,132,0,132,132,73,59,59,lru,fp16,1
q0,0,10,decode,cuda:1,126,0,126,126,76,50,50,lru,fp16,1
q0,0,11,decode,cuda:0,132,0,132,132,89,43,43,lru,fp16,1
q0,0,11,decode,cuda:1,126,0,126,126,93,33,33,lru,fp16,1
q0,0,12,decode,cuda:0,132,0,132,132,62,70,70,lru,fp16,1
q0,0,12,decode,cuda:1,126,0,126,126,98,28,28,lru,fp16,1
q0,0,13,decode,cuda:0,132,0,132,132,87,45,45,lru,fp16,1
q0,0,13,decode,cuda:1,126,0,126,126,104,22,22,lru,fp16,1
q0,0,14,decode,cuda:0,132,0,132,132,76,56,56,lru,fp16,1
q0,0,14,decode,cuda:1,126,0,126,126,107,19,19,lru,fp16,1
q0,0,15,decode,cuda:0,132,0,132,132,86,46,46,lru,fp16,1
q0,0,15,decode,cuda:1,126,0,126,126,105,21,21,lru,fp16,1
q0,0,0,prefill,pooled,1642,0,1642,1494,0,1642,278,lru,fp16,1
q0,0,1,decode,pooled,258,0,258,258,162,96,96,lru,fp16,1
q0,0,2,decode,pooled,258,0,258,258,152,106,106,lru,fp16,1
q0,0,3,decode,pooled,258,0,258,258,163,95,95,lru,fp16,1
q0,0,4,decode,pooled,258,0,258,258,170,88,88,lru,fp16,1
q0,0,5,decode,pooled,258,0,258,258,174,84,84,lru,fp16,1
q0,0,6,decode,pooled,258,0,258,258,163,95,95,lru,fp16,1
q0,0,7,decode,pooled,258,0,258,258,174,84,84,lru,fp16,1
q0,0,8,decode,pooled,258,0,258,258,168,90,90,lru,fp16,1
q0,0,9,decode,pooled,258,0,258,258,150,108,108,lru,fp16,1
q0,0,10,decode,pooled,258,0,258,258,149,109,109,lru,fp16,1
q0,0,11,decode,pooled,258,0,258,258,182,76,76,lru,fp16,1
q0,0,12,decode,pooled,258,0,258,258,160,98,98,lru,fp16,1
q0,0,13,decode,pooled,258,0,258,258,191,67,67,lru,fp16,1
q0,0,14,decode,pooled,258,0,258,258,183,75,75,lru,fp16,1
q0,0,15,decode,pooled,258,0,258,258,191,67,67,lru,fp16,1
q0,0,0,prefill,cuda:0,861,0,861,787,0,861,179,priority_lru,fp16,1
q0,0,0,prefill,cuda:1,781,0,781,707,0,781,99,priority_lru,fp16,1
q0,0,1,decode,cuda:0,132,5,127,127,83,49,49,priority_lru,fp16,1
q0,0,1,decode,cuda:1,126,4,122,122,79,47,47,priority_lru,fp16,1
q0,0,2,decode,cuda:0,132,7,125,125,69,63,63,priority_lru,fp16,1
q0,0,2,decode,cuda:1,126,5,121,121,83,43,43,priority_lru,fp16,1
q0,0,3,decode,cuda:0,132,2,130,130,79,53,53,priority_lru,fp16,1
q0,0,3,decode,cuda:1,126,2,124,124,84,42,42,priority_lru,fp16,1
q0,0,4,decode,cuda:0,132,7,125,125,77,55,55,priority_lru,fp16,1
q0,0,4,decode,cuda:1,126,3,123,123,93,33,33,priority_lru,fp16,1
q0,0,5,decode,cuda:0,132,4,128,128,74,58,58,priority_lru,fp16,1
q0,0,5,decode,cuda:1,126,1,125,125,100,26,26,priority_lru,fp16,1
q0,0,6,decode,cuda:0,132,5,127,127,71,61,61,priority_lru,fp16,1
q0,0,6,decode,cuda:1,126,1,125,125,92,34,34,priority_lru,fp16,1
q0,0,7,decode,cuda:0,132,11,121,121,76,56,56,priority_lru,fp16,1
q0,0,7,decode,cuda:1,126,1,125,125,98,28,28,priority_lru,fp16,1
q0,0,8,decode,cuda:0,132,13,119,119,81,51,51,priority_lru,fp16,1
q0,0,8,decode,cuda:1,126,2,124,124,87,39,39,priority_lru,fp16,1
q0,0,9,decode,cuda:0,132,7,125,125,64,68,68,priority_lru,fp16,1
q0,0,9,decode,cuda:1,126,0,126,126,86,40,40,priority_lru,fp16,1
q0,0,10,decode,cuda:0,132,11,121,121,73,59,59,priority_lru,fp16,1
q0,0,10,decode,cuda:1,126,0,126,126,76,50,50,priority_lru,fp16,1
q0,0,11,decode,cuda:0,132,7,125,125,89,43,43,priority_lru,fp16,1
q0,0,11,decode,cuda:1,126,0,126,126,93,33,33,priority_lru,fp16,1
q0,0,12,decode,cuda:0,132,1,131,131,62,70,70,priority_lru,fp16,1
q0,0,12,decode,cuda:1,126,12,114,114,98,28,28,priority_lru,fp16,1
q0,0,13,decode,cuda:0,132,3,129,129,87,45,45,priority_lru,fp16,1
q0,0,13,decode,cuda:1,126,12,114,114,104,22,22,priority_lru,fp16,1
q0,0,14,decode,cuda:0,132,10,122,122,76,56,56,priority_lru,fp16,1
