prompt,prompt_idx,device,requests,requests_prefill,requests_decode,raw_picks,dup_eliminated,first_touch_requests,repeat_requests,vram_hits,vram_hits_prefill,vram_hits_decode,vram_inflight,vram_cold_loads,vram_cold_prefill,vram_cold_decode,vram_evictions,vram_resident_end,vram_pinned_skipped,belady_vram_hits_bound,host_consults,host_hits,host_hits_prefill,host_hits_decode,host_misses,host_misses_prefill,host_misses_decode,host_evictions,host_entries_end,vram_miss_host_hit,vram_miss_host_miss,hits_on_prewarmed,store_reads,h2d_bytes,store_bytes,h2d_mib,store_mib,generated_tokens,h2d_mib_per_gen_token,store_mib_per_gen_token,hit_rate_vram,hit_rate_host_of_consults,hit_rate_host_of_vram_misses,hit_rate_e2e_store_avoid,vram_hits_per_raw_pick,requests_per_raw_pick,reuse_n,reuse_p50,reuse_p90,reuse_p99,reuse_cdf,vram_gib,vram_dtype,vram_slots,vram_policy,host_gib,host_records,host_scope,host_consult,queue_depth,regime,persist,journal_sha256
q0,0,cuda:0,2841,861,1980,3564,723,1494,1347,0,0,0,0,2841,861,1980,2767,74,20715,763,2841,1147,0,1147,1694,861,833,1012,682,1147,1694,0,1694,37982306304,22647668736,36222.75,21598.5,16,2263.92,1349.91,0.0,0.4037310806054206,0.4037310806054206,0.4037310806054206,0.0,0.7971380471380471,1347,264,1182,2167,"{""64"": 0.0, ""74"": 0.0, ""128"": 0.0, ""192"": 0.3682256867112101, ""281"": 0.5501113585746102, ""512"": 0.6317743132887899, ""682"": 0.7654046028210839, ""1024"": 0.8715664439495174}",3.5,fp16,74,lru,8.5,682,per-device,eager,6,cold,1,591072115feb12fe818b0caea4018f03ced23cacc6cb7a7a5544a3f31f3132d8
q0,0,cuda:1,2671,781,1890,3402,731,1210,1461,0,0,0,0,2671,781,1890,2597,74,17681,979,2671,1385,0,1385,1286,781,505,604,682,1385,1286,0,1286,35709517824,17192976384,34055.25,16396.5,16,2128.45,1024.78,0.0,0.5185323848745788,0.5185323848745788,0.5185323848745789,0.0,0.7851263962375074,1461,127,828,1933,"{""64"": 0.0, ""74"": 0.0, ""128"": 0.5995893223819302, ""192"": 0.6057494866529775, ""281"": 0.6919917864476386, ""512"": 0.7980835044490076, ""682"": 0.8596851471594799, ""1024"": 0.9363449691991786}",3.5,fp16,74,lru,8.5,682,per-device,eager,6,cold,1,591072115feb12fe818b0caea4018f03ced23cacc6cb7a7a5544a3f31f3132d8
q0,0,pooled,5512,1642,3870,6966,1454,2704,2808,0,0,0,0,5512,1642,3870,5364,148,0,1742,5512,2532,0,2532,2980,1642,1338,1616,1364,2532,2980,0,2980,73691824128,39840645120,70278.0,37995.0,16,4392.38,2374.69,0.0,0.4593613933236575,0.4593613933236575,0.45936139332365744,0.0,0.7912718920470858,0,,,,,3.5,fp16,74,lru,8.5,682,per-device,eager,6,cold,1,591072115feb12fe818b0caea4018f03ced23cacc6cb7a7a5544a3f31f3132d8
q0,0,cuda:0,2841,861,1980,3564,723,1494,1347,97,0,97,0,2744,861,1883,2670,74,20640,763,2841,1147,0,1147,1694,861,833,1012,682,1061,1683,0,1694,36685479936,22647668736,34986.0,21598.5,16,2186.62,1349.91,0.03414290742696234,0.4037310806054206,0.38666180758017493,0.4037310806054206,0.027216610549943884,0.7971380471380471,1347,264,1182,2167,"{""64"": 0.0, ""74"": 0.0, ""128"": 0.0, ""192"": 0.3682256867112101, ""281"": 0.5501113585746102, ""512"": 0.6317743132887899, ""682"": 0.7654046028210839, ""1024"": 0.8715664439495174}",3.5,fp16,74,priority_lru,8.5,682,per-device,eager,6,cold,1,591072115feb12fe818b0caea4018f03ced23cacc6cb7a7a5544a3f31f3132d8
q0,0,cuda:1,2671,781,1890,3402,731,1210,1461,65,0,65,0,2606,781,1825,2532,74,17638,979,2671,1385,0,1385,1286,781,505,604,682,1321,1285,0,1286,34840510464,17192976384,33226.5,16396.5,16,2076.66,1024.78,0.024335454885810556,0.5185323848745788,0.5069071373752878,0.5185323848745789,0.019106407995296885,0.7851263962375074,1461,127,828,1933,"{""64"": 0.0, ""74"": 0.0, ""128"": 0.5995893223819302, ""192"": 0.6057494866529775, ""281"": 0.6919917864476386, ""512"": 0.7980835044490076, ""682"": 0.8596851471594799, ""1024"": 0.9363449691991786}",3.5,fp16,74,priority_lru,8.5,682,per-device,eager,6,cold,1,591072115feb12fe818b0caea4018f03ced23cacc6cb7a7a5544a3f31f3132d8
q0,0,pooled,5512,1642,3870,6966,1454,2704,2808,162,0,162,0,5350,1642,3708,5202,148,0,1742,5512,2532,0,2532,2980,1642,1338,1616,1364,2382,2968,0,2980,71525990400,39840645120,68212.5,37995.0,16,4263.28,2374.69,0.02939042089985486,0.4593613933236575,0.4452336448598131,0.45936139332365744,0.023255813953488372,0.7912718920470858,0,,,,,3.5,fp16,74,priority_lru,8.5,682,per-device,eager,6,cold,1,591072115feb12fe818b0caea4018f03ced23cacc6cb7a7a5544a3f31f3132d8
q0,0,cuda:0,2841,861,1980,3564,723,1494,1347,0,0,0,0,2841,861,1980,2767,74,20715,763,2841,1147,0,1147,1694,861,833,1012,682,1147,1694,0,1694,37982306304,22647668736,36222.75,21598.5,16,2263.92,1349.91,0.0,0.4037310806054206,0.4037310806054206,0.4037310806054206,0.0,0.7971380471380471,1347,264,1182,2167,"{""64"": 0.0, ""74"": 0.0, ""128"": 0.0, ""192"": 0.3682256867112101, ""281"": 0.5501113585746102, ""512"": 0.6317743132887899, ""682"": 0.7654046028210839, ""1024"": 0.8715664439495174}",3.5,fp16,74,lfu,8.5,682,per-device,eager,6,cold,1,591072115feb12fe818b0caea4018f03ced23cacc6cb7a7a5544a3f31f3132d8
q0,0,cuda:1,2671,781,1890,3402,731,1210,1461,0,0,0,0,2671,781,1890,2597,74,17681,979,2671,1385,0,1385,1286,781,505,604,682,1385,1286,0,1286,35709517824,17192976384,34055.25,16396.5,16,2128.45,1024.78,0.0,0.5185323848745788,0.5185323848745788,0.5185323848745789,0.0,0.7851263962375074,1461,127,828,1933,"{""64"": 0.0, ""74"": 0.0, ""128"": 0.5995893223819302, ""192"": 0.6057494866529775, ""281"": 0.6919917864476386, ""512"": 0.7980835044490076, ""682"": 0.8596851471594799, ""1024"": 0.9363449691991786}",3.5,fp16,74,lfu,8.5,682,per-device,eager,6,cold,1,591072115feb12fe818b0caea4018f03ced23cacc6cb7a7a5544a3f31f3132d8
q0,0,pooled,5512,1642,3870,6966,1454,2704,2808,0,0,0,0,5512,1642,3870,5364,148,0,1742,5512,2532,0,2532,2980,1642,1338,1616,1364,2532,2980,0,2980,73691824128,39840645120,70278.0,37995.0,16,4392.38,2374.69,0.0,0.4593613933236575,0.4593613933236575,0.45936139332365744,0.0,0.7912718920470858,0,,,,,3.5,fp16,74,lfu,8.5,682,per-device,eager,6,cold,1,591072115feb12fe818b0caea4018f03ced23cacc6cb7a7a5544a3f31f3132d8
q0,0,cuda:0,2841,861,1980,3564,723,1494,1347,0,0,0,0,2841,861,1980,2767,74,20715,763,2841,1147,0,1147,1694,861,833,1012,682,1147,1694,0,1694,37982306304,22647668736,36222.75,21598.5,16,2263.92,1349.91,0.0,0.4037310806054206,0.4037310806054206,0.4037310806054206,0.0,0.7971380471380471,1347,264,1182,2167,"{""64"": 0.0, ""74"": 0.0, ""128"": 0.0, ""192"": 0.3682256867112101, ""281"": 0.5501113585746102, ""512"": 0.6317743132887899, ""682"": 0.7654046028210839, ""1024"": 0.8715664439495174}",3.5,fp16,74,freq_x_recency,8.5,682,per-device,eager,6,cold,1,591072115feb12fe818b0caea4018f03ced23cacc6cb7a7a5544a3f31f3132d8
