prompt,prompt_idx,forward_step,phase,device,requests,vram_hits,vram_cold,vram_evictions,host_hits,host_misses,host_evictions,vram_policy,vram_dtype,persist
q0,0,0,prefill,cuda:0,861,0,861,787,0,0,0,priority_lru,fp16,1
q0,0,0,prefill,cuda:1,781,0,781,707,0,0,0,priority_lru,fp16,1
q0,0,1,decode,cuda:0,132,5,127,127,0,0,0,priority_lru,fp16,1
q0,0,1,decode,cuda:1,126,4,122,122,0,0,0,priority_lru,fp16,1
q0,0,2,decode,cuda:0,132,7,125,125,0,0,0,priority_lru,fp16,1
q0,0,2,decode,cuda:1,126,5,121,121,0,0,0,priority_lru,fp16,1
q0,0,3,decode,cuda:0,132,2,130,130,0,0,0,priority_lru,fp16,1
q0,0,3,decode,cuda:1,126,2,124,124,0,0,0,priority_lru,fp16,1
q0,0,4,decode,cuda:0,132,7,125,125,0,0,0,priority_lru,fp16,1
q0,0,4,decode,cuda:1,126,3,123,123,0,0,0,priority_lru,fp16,1
q0,0,5,decode,cuda:0,132,4,128,128,0,0,0,priority_lru,fp16,1
q0,0,5,decode,cuda:1,126,1,125,125,0,0,0,priority_lru,fp16,1
q0,0,6,decode,cuda:0,132,5,127,127,0,0,0,priority_lru,fp16,1
q0,0,6,decode,cuda:1,126,1,125,125,0,0,0,priority_lru,fp16,1
q0,0,7,decode,cuda:0,132,11,121,121,0,0,0,priority_lru,fp16,1
q0,0,7,decode,cuda:1,126,1,125,125,0,0,0,priority_lru,fp16,1
q0,0,8,decode,cuda:0,132,13,119,119,0,0,0,priority_lru,fp16,1
q0,0,8,decode,cuda:1,126,2,124,124,0,0,0,priority_lru,fp16,1
q0,0,9,decode,cuda:0,132,7,125,125,0,0,0,priority_lru,fp16,1
q0,0,9,decode,cuda:1,126,0,126,126,0,0,0,priority_lru,fp16,1
q0,0,10,decode,cuda:0,132,11,121,121,0,0,0,priority_lru,fp16,1
q0,0,10,decode,cuda:1,126,0,126,126,0,0,0,priority_lru,fp16,1
q0,0,11,decode,cuda:0,132,7,125,125,0,0,0,priority_lru,fp16,1
q0,0,11,decode,cuda:1,126,0,126,126,0,0,0,priority_lru,fp16,1
q0,0,12,decode,cuda:0,132,1,131,131,0,0,0,priority_lru,fp16,1
q0,0,12,decode,cuda:1,126,12,114,114,0,0,0,priority_lru,fp16,1
q0,0,13,decode,cuda:0,132,3,129,129,0,0,0,priority_lru,fp16,1
q0,0,13,decode,cuda:1,126,12,114,114,0,0,0,priority_lru,fp16,1
q0,0,14,decode,cuda:0,132,10,122,122,0,0,0,priority_lru,fp16,1
q0,0,14,decode,cuda:1,126,13,113,113,0,0,0,priority_lru,fp16,1
q0,0,15,decode,cuda:0,132,4,128,128,0,0,0,priority_lru,fp16,1
q0,0,15,decode,cuda:1,126,9,117,117,0,0,0,priority_lru,fp16,1
q0,0,0,prefill,pooled,1642,0,1642,1494,0,0,0,priority_lru,fp16,1
q0,0,1,decode,pooled,258,9,249,249,0,0,0,priority_lru,fp16,1
q0,0,2,decode,pooled,258,12,246,246,0,0,0,priority_lru,fp16,1
q0,0,3,decode,pooled,258,4,254,254,0,0,0,priority_lru,fp16,1
q0,0,4,decode,pooled,258,10,248,248,0,0,0,priority_lru,fp16,1
q0,0,5,decode,pooled,258,5,253,253,0,0,0,priority_lru,fp16,1
q0,0,6,decode,pooled,258,6,252,252,0,0,0,priority_lru,fp16,1
q0,0,7,decode,pooled,258,12,246,246,0,0,0,priority_lru,fp16,1
q0,0,8,decode,pooled,258,15,243,243,0,0,0,priority_lru,fp16,1
