prompt,prompt_idx,device,requests,requests_prefill,requests_decode,raw_picks,dup_eliminated,first_touch_requests,repeat_requests,vram_hits,vram_hits_prefill,vram_hits_decode,vram_inflight,vram_cold_loads,vram_cold_prefill,vram_cold_decode,vram_evictions,vram_resident_end,vram_pinned_skipped,belady_vram_hits_bound,host_consults,host_hits,host_hits_prefill,host_hits_decode,host_misses,host_misses_prefill,host_misses_decode,host_evictions,host_entries_end,vram_miss_host_hit,vram_miss_host_miss,hits_on_prewarmed,store_reads,h2d_bytes,store_bytes,h2d_mib,store_mib,generated_tokens,h2d_mib_per_gen_token,store_mib_per_gen_token,hit_rate_vram,hit_rate_host_of_consults,hit_rate_host_of_vram_misses,hit_rate_e2e_store_avoid,vram_hits_per_raw_pick,requests_per_raw_pick,reuse_n,reuse_p50,reuse_p90,reuse_p99,reuse_cdf,vram_gib,vram_dtype,vram_slots,vram_policy,host_gib,host_records,host_scope,host_consult,queue_depth,regime,persist,journal_sha256
q0,0,cuda:0,2841,861,1980,3564,723,1494,1347,97,0,97,0,2744,861,1883,2670,74,20640,763,0,0,0,0,0,0,0,0,0,0,0,0,2744,36685479936,36685479936,34986.0,34986.0,16,2186.62,2186.62,0.03414290742696234,0.0,0.0,0.034142907426962354,0.027216610549943884,0.7971380471380471,1347,264,1182,2167,"{""64"": 0.0, ""74"": 0.0, ""128"": 0.0, ""192"": 0.3682256867112101, ""281"": 0.5501113585746102, ""512"": 0.6317743132887899, ""682"": 0.7654046028210839, ""1024"": 0.8715664439495174}",3.5,fp16,74,priority_lru,0.0,0,per-device,eager,6,cold,1,591072115feb12fe818b0caea4018f03ced23cacc6cb7a7a5544a3f31f3132d8
q0,0,cuda:1,2671,781,1890,3402,731,1210,1461,65,0,65,0,2606,781,1825,2532,74,17638,979,0,0,0,0,0,0,0,0,0,0,0,0,2606,34840510464,34840510464,33226.5,33226.5,16,2076.66,2076.66,0.024335454885810556,0.0,0.0,0.02433545488581057,0.019106407995296885,0.7851263962375074,1461,127,828,1933,"{""64"": 0.0, ""74"": 0.0, ""128"": 0.5995893223819302, ""192"": 0.6057494866529775, ""281"": 0.6919917864476386, ""512"": 0.7980835044490076, ""682"": 0.8596851471594799, ""1024"": 0.9363449691991786}",3.5,fp16,74,priority_lru,0.0,0,per-device,eager,6,cold,1,591072115feb12fe818b0caea4018f03ced23cacc6cb7a7a5544a3f31f3132d8
q0,0,pooled,5512,1642,3870,6966,1454,2704,2808,162,0,162,0,5350,1642,3708,5202,148,0,1742,0,0,0,0,0,0,0,0,0,0,0,0,5350,71525990400,71525990400,68212.5,68212.5,16,4263.28,4263.28,0.02939042089985486,0.0,0.0,0.029390420899854885,0.023255813953488372,0.7912718920470858,0,,,,,3.5,fp16,74,priority_lru,0.0,0,per-device,eager,6,cold,1,591072115feb12fe818b0caea4018f03ced23cacc6cb7a7a5544a3f31f3132d8
q0,0,cuda:0,2841,861,1980,3564,723,1494,1347,97,0,97,0,2744,861,1883,2670,74,20640,763,2841,781,0,781,2060,861,1199,1739,321,702,2042,0,2060,36685479936,27540848640,34986.0,26265.0,16,2186.62,1641.56,0.03414290742696234,0.2749032030975009,0.25583090379008744,0.2749032030975008,0.027216610549943884,0.7971380471380471,1347,264,1182,2167,"{""64"": 0.0, ""74"": 0.0, ""128"": 0.0, ""192"": 0.3682256867112101, ""281"": 0.5501113585746102, ""512"": 0.6317743132887899, ""682"": 0.7654046028210839, ""1024"": 0.8715664439495174}",3.5,fp16,74,priority_lru,4.0,321,per-device,eager,6,cold,1,591072115feb12fe818b0caea4018f03ced23cacc6cb7a7a5544a3f31f3132d8
q0,0,cuda:1,2671,781,1890,3402,731,1210,1461,65,0,65,0,2606,781,1825,2532,74,17638,979,2671,1127,0,1127,1544,781,763,1223,321,1078,1528,0,1544,34840510464,20642267136,33226.5,19686.0,16,2076.66,1230.38,0.024335454885810556,0.4219393485585923,0.4136607828089025,0.4219393485585923,0.019106407995296885,0.7851263962375074,1461,127,828,1933,"{""64"": 0.0, ""74"": 0.0, ""128"": 0.5995893223819302, ""192"": 0.6057494866529775, ""281"": 0.6919917864476386, ""512"": 0.7980835044490076, ""682"": 0.8596851471594799, ""1024"": 0.9363449691991786}",3.5,fp16,74,priority_lru,4.0,321,per-device,eager,6,cold,1,591072115feb12fe818b0caea4018f03ced23cacc6cb7a7a5544a3f31f3132d8
q0,0,pooled,5512,1642,3870,6966,1454,2704,2808,162,0,162,0,5350,1642,3708,5202,148,0,1742,5512,1908,0,1908,3604,1642,1962,2962,642,1780,3570,0,3604,71525990400,48183115776,68212.5,45951.0,16,4263.28,2871.94,0.02939042089985486,0.34615384615384615,0.33271028037383177,0.34615384615384615,0.023255813953488372,0.7912718920470858,0,,,,,3.5,fp16,74,priority_lru,4.0,321,per-device,eager,6,cold,1,591072115feb12fe818b0caea4018f03ced23cacc6cb7a7a5544a3f31f3132d8
q0,0,cuda:0,2841,861,1980,3564,723,1494,1347,97,0,97,0,2744,861,1883,2670,74,20640,763,2841,1147,0,1147,1694,861,833,1012,682,1061,1683,0,1694,36685479936,22647668736,34986.0,21598.5,16,2186.62,1349.91,0.03414290742696234,0.4037310806054206,0.38666180758017493,0.4037310806054206,0.027216610549943884,0.7971380471380471,1347,264,1182,2167,"{""64"": 0.0, ""74"": 0.0, ""128"": 0.0, ""192"": 0.3682256867112101, ""281"": 0.5501113585746102, ""512"": 0.6317743132887899, ""682"": 0.7654046028210839, ""1024"": 0.8715664439495174}",3.5,fp16,74,priority_lru,8.5,682,per-device,eager,6,cold,1,591072115feb12fe818b0caea4018f03ced23cacc6cb7a7a5544a3f31f3132d8
q0,0,cuda:1,2671,781,1890,3402,731,1210,1461,65,0,65,0,2606,781,1825,2532,74,17638,979,2671,1385,0,1385,1286,781,505,604,682,1321,1285,0,1286,34840510464,17192976384,33226.5,16396.5,16,2076.66,1024.78,0.024335454885810556,0.5185323848745788,0.5069071373752878,0.5185323848745789,0.019106407995296885,0.7851263962375074,1461,127,828,1933,"{""64"": 0.0, ""74"": 0.0, ""128"": 0.5995893223819302, ""192"": 0.6057494866529775, ""281"": 0.6919917864476386, ""512"": 0.7980835044490076, ""682"": 0.8596851471594799, ""1024"": 0.9363449691991786}",3.5,fp16,74,priority_lru,8.5,682,per-device,eager,6,cold,1,591072115feb12fe818b0caea4018f03ced23cacc6cb7a7a5544a3f31f3132d8
q0,0,pooled,5512,1642,3870,6966,1454,2704,2808,162,0,162,0,5350,1642,3708,5202,148,0,1742,5512,2532,0,2532,2980,1642,1338,1616,1364,2382,2968,0,2980,71525990400,39840645120,68212.5,37995.0,16,4263.28,2374.69,0.02939042089985486,0.4593613933236575,0.4452336448598131,0.45936139332365744,0.023255813953488372,0.7912718920470858,0,,,,,3.5,fp16,74,priority_lru,8.5,682,per-device,eager,6,cold,1,591072115feb12fe818b0caea4018f03ced23cacc6cb7a7a5544a3f31f3132d8
q0,0,cuda:0,2841,861,1980,3564,723,1494,1347,97,0,97,0,2744,861,1883,2670,74,20640,763,2841,1344,0,1344,1497,861,636,132,1365,1247,1497,0,1497,36685479936,20013907968,34986.0,19086.75,16,2186.62,1192.92,0.03414290742696234,0.4730728616684266,0.4544460641399417,0.47307286166842666,0.027216610549943884,0.7971380471380471,1347,264,1182,2167,"{""64"": 0.0, ""74"": 0.0, ""128"": 0.0, ""192"": 0.3682256867112101, ""281"": 0.5501113585746102, ""512"": 0.6317743132887899, ""682"": 0.7654046028210839, ""1024"": 0.8715664439495174}",3.5,fp16,74,priority_lru,17.0,1365,per-device,eager,6,cold,1,591072115feb12fe818b0caea4018f03ced23cacc6cb7a7a5544a3f31f3132d8
