trace,policy,capacity_experts_per_layer,tier2_experts_per_layer,accesses,hits,misses,hit_rate,miss_rate,compulsory_misses,capacity_misses,evictions,miss_bytes_per_token,ssd_bytes_per_token,h2d_bytes_per_token,evictions_per_token,cache_churn,useful_residency_ticks,wasted_residency_ticks,regret_vs_belady
v65-terminal-fetch-20260903T0202Z,lru,8,0,5676,1837,3839,0.323643,0.676357,2364,1475,3495,3207806976.0,3207806976.0,0.0,218.438,1.292107,11116,32730,990
v65-terminal-fetch-20260903T0202Z,lfu,8,0,5676,894,4782,0.157505,0.842495,2364,2418,4438,3995762688.0,3995762688.0,0.0,277.375,1.624383,11307,32539,1933
v65-terminal-fetch-20260903T0202Z,least_stale,8,0,5676,1782,3894,0.313953,0.686047,2364,1530,3550,3253764096.0,3253764096.0,0.0,221.875,1.311487,13685,30161,1045
v65-terminal-fetch-20260903T0202Z,arc,8,0,5676,1820,3856,0.320648,0.679352,2364,1492,3512,3222011904.0,3222011904.0,0.0,219.5,1.298097,12761,31085,1007
v65-terminal-fetch-20260903T0202Z,recency_freq,8,0,5676,1887,3789,0.332452,0.667548,2364,1425,3445,3166027776.0,3166027776.0,0.0,215.312,1.274489,13196,30650,940
v65-terminal-fetch-20260903T0202Z,belady,8,0,5676,2827,2849,0.498062,0.501938,2364,485,2505,2380578816.0,2380578816.0,0.0,156.562,0.94327,29070,14776,0
v65-terminal-fetch-20260903T0202Z,keepvalue,8,0,5676,1837,3839,0.323643,0.676357,2364,1475,3495,3207806976.0,3207806976.0,0.0,218.438,1.292107,11116,32730,990
v65-terminal-fetch-20260903T0202Z,lru,8,64,5676,1837,3839,0.323643,0.676357,2364,1475,3495,3207806976.0,1985347584.0,1222459392.0,218.438,1.292107,11116,32730,990
v65-terminal-fetch-20260903T0202Z,lfu,8,64,5676,894,4782,0.157505,0.842495,2364,2418,4438,3995762688.0,1984512000.0,2011250688.0,277.375,1.624383,11307,32539,1933
v65-terminal-fetch-20260903T0202Z,least_stale,8,64,5676,1782,3894,0.313953,0.686047,2364,1530,3550,3253764096.0,1985347584.0,1268416512.0,221.875,1.311487,13685,30161,1045
v65-terminal-fetch-20260903T0202Z,arc,8,64,5676,1820,3856,0.320648,0.679352,2364,1492,3512,3222011904.0,1982840832.0,1239171072.0,219.5,1.298097,12761,31085,1007
v65-terminal-fetch-20260903T0202Z,recency_freq,8,64,5676,1887,3789,0.332452,0.667548,2364,1425,3445,3166027776.0,1985347584.0,1180680192.0,215.312,1.274489,13196,30650,940
v65-terminal-fetch-20260903T0202Z,belady,8,64,5676,2827,2849,0.498062,0.501938,2364,485,2505,2380578816.0,1983676416.0,396902400.0,156.562,0.94327,29070,14776,0
v65-terminal-fetch-20260903T0202Z,keepvalue,8,64,5676,1837,3839,0.323643,0.676357,2364,1475,3495,3207806976.0,1985347584.0,1222459392.0,218.438,1.292107,11116,32730,990
v65-terminal-fetch-20260903T0202Z,lru,8,128,5676,1837,3839,0.323643,0.676357,2364,1475,3495,3207806976.0,1975320576.0,1232486400.0,218.438,1.292107,11116,32730,990
v65-terminal-fetch-20260903T0202Z,lfu,8,128,5676,894,4782,0.157505,0.842495,2364,2418,4438,3995762688.0,1975320576.0,2020442112.0,277.375,1.624383,11307,32539,1933
v65-terminal-fetch-20260903T0202Z,least_stale,8,128,5676,1782,3894,0.313953,0.686047,2364,1530,3550,3253764096.0,1975320576.0,1278443520.0,221.875,1.311487,13685,30161,1045
v65-terminal-fetch-20260903T0202Z,arc,8,128,5676,1820,3856,0.320648,0.679352,2364,1492,3512,3222011904.0,1975320576.0,1246691328.0,219.5,1.298097,12761,31085,1007
v65-terminal-fetch-20260903T0202Z,recency_freq,8,128,5676,1887,3789,0.332452,0.667548,2364,1425,3445,3166027776.0,1975320576.0,1190707200.0,215.312,1.274489,13196,30650,940
v65-terminal-fetch-20260903T0202Z,belady,8,128,5676,2827,2849,0.498062,0.501938,2364,485,2505,2380578816.0,1975320576.0,405258240.0,156.562,0.94327,29070,14776,0
v65-terminal-fetch-20260903T0202Z,keepvalue,8,128,5676,1837,3839,0.323643,0.676357,2364,1475,3495,3207806976.0,1975320576.0,1232486400.0,218.438,1.292107,11116,32730,990
v65-terminal-fetch-20260903T0202Z,lru,8,256,5676,1837,3839,0.323643,0.676357,2364,1475,3495,3207806976.0,1975320576.0,1232486400.0,218.438,1.292107,11116,32730,990
v65-terminal-fetch-20260903T0202Z,lfu,8,256,5676,894,4782,0.157505,0.842495,2364,2418,4438,3995762688.0,1975320576.0,2020442112.0,277.375,1.624383,11307,32539,1933
v65-terminal-fetch-20260903T0202Z,least_stale,8,256,5676,1782,3894,0.313953,0.686047,2364,1530,3550,3253764096.0,1975320576.0,1278443520.0,221.875,1.311487,13685,30161,1045
v65-terminal-fetch-20260903T0202Z,arc,8,256,5676,1820,3856,0.320648,0.679352,2364,1492,3512,3222011904.0,1975320576.0,1246691328.0,219.5,1.298097,12761,31085,1007
v65-terminal-fetch-20260903T0202Z,recency_freq,8,256,5676,1887,3789,0.332452,0.667548,2364,1425,3445,3166027776.0,1975320576.0,1190707200.0,215.312,1.274489,13196,30650,940
v65-terminal-fetch-20260903T0202Z,belady,8,256,5676,2827,2849,0.498062,0.501938,2364,485,2505,2380578816.0,1975320576.0,405258240.0,156.562,0.94327,29070,14776,0
v65-terminal-fetch-20260903T0202Z,keepvalue,8,256,5676,1837,3839,0.323643,0.676357,2364,1475,3495,3207806976.0,1975320576.0,1232486400.0,218.438,1.292107,11116,32730,990
