region,codec,n,mean_ratio,median_ratio,p95_ratio,worst_ratio,best_ratio,c_MB_s_med,d_MB_s_med,verified_n,independent,streaming,random_access
w1w,lz4_fast,2364,1.0,1.0,1.0,1.0,1.0,1764,821,2364,yes,yes,yes
w1w,lz4_hc,95,1.0,1.0,1.0,1.0,1.0,18,746,95,yes,yes,yes
w1w,zstd_1,2364,0.9648,0.9648,0.9663,0.9673,0.9533,297,498,2364,yes,yes,yes
w1w,zstd_3,2364,0.9665,0.9666,0.9686,0.9708,0.9542,143,468,2364,yes,yes,yes
w1w,zstd_10,95,0.9648,0.9648,0.9664,0.9669,0.9615,153,490,95,yes,yes,yes
w1w,nib_split_zstd3,2364,1.0404,1.0405,1.0408,1.041,1.038,23,135,2364,yes,yes,yes
w1w,order0,2364,0.9597,0.9596,0.9614,0.9626,0.9481,0,0,0,yes,n/a-bound,yes
w1w,order1,2364,0.9401,0.9401,0.9439,0.9476,0.9269,0,0,0,yes,n/a-bound,yes
w1w,rans,95,0.9597,0.9596,0.9615,0.962,0.9561,50,0,95,yes,n/a-bound,yes
w3w,lz4_fast,2364,1.0,1.0,1.0,1.0,1.0,1731,819,2364,yes,yes,yes
w3w,lz4_hc,95,1.0,1.0,1.0,1.0,1.0,19,754,95,yes,yes,yes
w3w,zstd_1,2364,0.965,0.9651,0.9662,0.9675,0.9568,298,493,2364,yes,yes,yes
w3w,zstd_3,2364,0.9667,0.9667,0.9687,0.9698,0.9588,143,465,2364,yes,yes,yes
w3w,zstd_10,95,0.965,0.965,0.9663,0.9672,0.9623,136,496,95,yes,yes,yes
w3w,nib_split_zstd3,2364,1.0404,1.0405,1.0408,1.041,1.0375,24,134,2364,yes,yes,yes
w3w,order0,2364,0.9599,0.96,0.9613,0.9629,0.9517,0,0,0,yes,n/a-bound,yes
w3w,order1,2364,0.9408,0.9411,0.9442,0.9468,0.9287,0,0,0,yes,n/a-bound,yes
w3w,rans,95,0.9599,0.96,0.9613,0.9627,0.9574,50,0,95,yes,n/a-bound,yes
w2w,lz4_fast,2364,1.0,1.0,1.0,1.0,1.0,1711,817,2364,yes,yes,yes
w2w,lz4_hc,95,1.0,1.0,1.0,1.0,1.0,18,753,95,yes,yes,yes
w2w,zstd_1,2364,0.9648,0.9649,0.9664,0.9676,0.927,297,496,2364,yes,yes,yes
w2w,zstd_3,2364,0.9664,0.9667,0.9688,0.9701,0.9275,143,468,2364,yes,yes,yes
w2w,zstd_10,95,0.9648,0.9649,0.9664,0.9668,0.9581,145,501,95,yes,yes,yes
w2w,nib_split_zstd3,2364,1.0405,1.0406,1.0409,1.041,1.0274,23,132,2364,yes,yes,yes
w2w,order0,2364,0.9597,0.9598,0.9615,0.9629,0.9235,0,0,0,yes,n/a-bound,yes
w2w,order1,2364,0.94,0.9403,0.9436,0.9457,0.8995,0,0,0,yes,n/a-bound,yes
w2w,rans,95,0.9597,0.9596,0.9615,0.9621,0.9536,50,0,95,yes,n/a-bound,yes
w1s,lz4_fast,2364,0.4849,0.4896,0.4966,0.4998,0.3575,445,457,2364,yes,yes,yes
w1s,lz4_hc,95,0.1853,0.1861,0.1887,0.1891,0.1604,0,1146,95,yes,yes,yes
w1s,zstd_1,2364,0.1961,0.1967,0.1972,0.1981,0.1677,114,212,2364,yes,yes,yes
w1s,zstd_3,2364,0.1883,0.1887,0.1892,0.1902,0.1638,127,269,2364,yes,yes,yes
w1s,zstd_10,95,0.1646,0.1654,0.1664,0.1667,0.1411,6,355,95,yes,yes,yes
w1s,nib_split_zstd3,2364,0.1885,0.1889,0.1894,0.1904,0.1637,120,258,2364,yes,yes,yes
w1s,order0,2364,0.1229,0.1235,0.1272,0.1797,0.0862,0,0,0,yes,n/a-bound,yes
w1s,order1,2364,0.1223,0.1232,0.1255,0.127,0.0862,0,0,0,yes,n/a-bound,yes
w1s,rans,95,0.1228,0.1228,0.1269,0.1349,0.0929,49,0,95,yes,n/a-bound,yes
w3s,lz4_fast,2364,0.4824,0.4862,0.4956,0.4999,0.2739,449,464,2364,yes,yes,yes
w3s,lz4_hc,95,0.1841,0.185,0.1884,0.1892,0.1567,0,1170,95,yes,yes,yes
