pack_gib_per_gpu,records_per_gpu,decode_misses,decode_compulsory,decode_capacity,miss_reduction_vs_8gib5,delta_misses_per_extra_gib,simulated_wall_s,simulated_delta_s_vs_v65,projected_total_gib,projected_total_decimal_gb,headroom_gib_to_measured_memtotal,headroom_decimal_gb_to_strict_contract,projected_min_available_gib,memory_class_combined,memory_class_measured_memtotal,memory_class_strict_contract
8.5,682,1251,1135,116,0,0.0,72.219,-0.048,24.227,26.01,7.12,5.99,7.12,SAFE_FOR_32GB,SAFE_FOR_32GB,SAFE_FOR_32GB
9.0,722,1229,1135,94,22,44.0,71.148,-1.119,25.227,27.09,6.12,4.91,6.12,SAFE_FOR_32GB,SAFE_FOR_32GB,SAFE_FOR_32GB
9.5,762,1209,1135,74,42,42.0,70.174,-2.093,26.227,28.16,5.12,3.84,5.12,SAFE_FOR_32GB,SAFE_FOR_32GB,SAFE_FOR_32GB
10.0,803,1200,1135,65,51,34.0,69.736,-2.531,27.227,29.23,4.12,2.77,4.12,SAFE_FOR_32GB,SAFE_FOR_32GB,SAFE_FOR_32GB
10.5,843,1189,1135,54,62,31.0,69.2,-3.067,28.227,30.31,3.12,1.69,3.12,BORDERLINE_FOR_32GB,SAFE_FOR_32GB,BORDERLINE_FOR_32GB
10.75,863,1186,1135,51,65,28.9,69.054,-3.213,28.727,30.85,2.62,1.15,2.62,BORDERLINE_FOR_32GB,SAFE_FOR_32GB,BORDERLINE_FOR_32GB
11.0,883,1184,1135,49,67,26.8,68.957,-3.31,29.227,31.38,2.12,0.62,2.12,BORDERLINE_FOR_32GB,SAFE_FOR_32GB,BORDERLINE_FOR_32GB
11.25,903,1179,1135,44,72,26.2,68.714,-3.553,29.727,31.92,1.62,0.08,1.62,BORDERLINE_FOR_32GB,BORDERLINE_FOR_32GB,BORDERLINE_FOR_32GB
11.5,923,1177,1135,42,74,24.7,68.616,-3.651,30.227,32.46,1.12,-0.46,1.12,NOT_SAFE_FOR_32GB,BORDERLINE_FOR_32GB,NOT_SAFE_FOR_32GB
12.0,963,1163,1135,28,88,25.1,67.935,-4.332,31.227,33.53,0.12,-1.53,0.12,NOT_SAFE_FOR_32GB,BORDERLINE_FOR_32GB,NOT_SAFE_FOR_32GB
12.25,983,1159,1135,24,92,24.5,67.74,-4.527,31.727,34.07,-0.38,-2.07,-0.38,NOT_SAFE_FOR_32GB,NOT_SAFE_FOR_32GB,NOT_SAFE_FOR_32GB
12.75,1024,1153,1135,18,98,23.1,67.448,-4.819,32.727,35.14,-1.38,-3.14,-1.38,NOT_SAFE_FOR_32GB,NOT_SAFE_FOR_32GB,NOT_SAFE_FOR_32GB
