device_ceiling_gibps,lanes,decode_fill_wall_s,per_decode_token_ms
0.29,1,52.553,3503.5
0.29,2,52.553,3503.5
0.29,3,52.553,3503.5
0.29,4,52.553,3503.5
0.29,6,52.553,3503.5
0.33,1,46.183,3078.8
0.33,2,46.183,3078.8
0.33,3,46.183,3078.8
0.33,4,46.183,3078.8
0.33,6,46.183,3078.8
0.35,1,43.544,2902.9
0.35,2,43.544,2902.9
0.35,3,43.544,2902.9
0.35,4,43.544,2902.9
0.35,6,43.544,2902.9
0.37,1,43.544,2902.9
0.37,2,41.767,2784.4
0.37,3,41.653,2776.9
0.37,4,41.578,2771.9
0.37,6,41.534,2768.9
0.675,1,43.544,2902.9
0.675,2,27.717,1847.8
0.675,3,26.706,1780.4
0.675,4,26.038,1735.9
0.675,6,25.644,1709.6
1.0,1,43.544,2902.9
1.0,2,27.108,1807.2
1.0,3,22.777,1518.5
1.0,4,21.747,1449.8
1.0,6,21.098,1406.5
2.9,1,43.544,2902.9
2.9,2,27.108,1807.2
2.9,3,22.412,1494.1
2.9,4,20.206,1347.1
2.9,6,18.997,1266.5
