model,device_policy,decode_fill_wall_s,prefill_fill_wall_s,response_fill_wall_s,per_decode_token_ms,per_response_token_ms
serial_task_anchor_18.9ms,device=sealed_priority_lru,23.146,23.24,46.386,1543.1,2899.1
serial_task_anchor_18.9ms,device=plain_lru,23.694,23.24,46.935,1579.6,2933.4
serial_measured_miss_35.5ms,device=sealed_priority_lru,43.464,43.642,87.106,2897.6,5444.1
serial_measured_miss_35.5ms,device=plain_lru,44.494,43.642,88.136,2966.3,5508.5
serial_measured_qd1_33.8ms,device=sealed_priority_lru,41.322,41.491,82.813,2754.8,5175.8
serial_measured_qd1_33.8ms,device=plain_lru,42.301,41.491,83.792,2820.1,5237.0
serial_measured_W1_table,device=sealed_priority_lru,42.838,43.507,86.344,2855.8,5396.5
serial_measured_W1_table,device=plain_lru,43.999,43.507,87.506,2933.3,5469.1
bounded3_naive_57.4_flat,device=sealed_priority_lru,30.652,2.468,33.12,2043.4,2070.0
bounded3_naive_57.4_flat,device=plain_lru,31.053,2.468,33.522,2070.2,2095.1
bounded3_wave_3x18.9,device=sealed_priority_lru,35.74,23.997,59.737,2382.7,3733.5
bounded3_wave_3x18.9,device=plain_lru,36.25,23.997,60.247,2416.7,3765.5
bounded3_measured_W3_table,device=sealed_priority_lru,52.959,53.339,106.298,3530.6,6643.6
bounded3_measured_W3_table,device=plain_lru,54.235,53.339,107.574,3615.7,6723.4
bounded3_fairshare_Bagg0.29,device=sealed_priority_lru,52.553,52.767,105.32,3503.5,6582.5
bounded3_fairshare_Bagg0.29,device=plain_lru,53.798,52.767,106.565,3586.5,6660.3
bounded3_fairshare_Bceil0.37,device=sealed_priority_lru,41.653,41.385,83.038,2776.9,5189.9
bounded3_fairshare_Bceil0.37,device=plain_lru,42.637,41.385,84.022,2842.5,5251.4
bounded4_fairshare_Bceil0.37,device=sealed_priority_lru,41.578,41.375,82.954,2771.9,5184.6
bounded4_fairshare_Bceil0.37,device=plain_lru,42.571,41.375,83.947,2838.1,5246.7
bounded3_fairshare_B0.675,device=sealed_priority_lru,22.578,22.67,45.248,1505.2,2828.0
bounded3_fairshare_B0.675,device=plain_lru,23.113,22.67,45.783,1540.9,2861.5
bounded3_fairshare_B2.9,device=sealed_priority_lru,11.621,7.803,19.424,774.7,1214.0
bounded3_fairshare_B2.9,device=plain_lru,11.787,7.803,19.59,785.8,1224.4
