gap_ms,bw_gibps,source,gap_records_per_row,decode_preads,preads_saved,prefetches_completed,prefetches_abandoned,prefetches_used_at_demand,decode_fill_wall_s,wall_saved_s,evictions0,evictions1
23.0,0.29,hash_L0L2_exact,0.536,1210,14,14,250,14,42.3,0.538,678,411
23.0,0.29,prevtok,0.536,1216,8,24,4778,16,42.586,0.252,690,415
23.0,0.29,prevtok_freq_backfill,0.536,1208,16,89,8577,31,42.331,0.507,722,440
23.0,0.29,oracle_gap,0.536,903,321,321,953,546,31.559,11.279,678,411
23.0,0.33,hash_L0L2_exact,0.61,1210,14,14,250,14,42.3,0.538,678,411
23.0,0.33,prevtok,0.61,1216,8,24,4778,16,42.586,0.252,690,415
23.0,0.33,prevtok_freq_backfill,0.61,1208,16,89,8577,31,42.331,0.507,722,440
23.0,0.33,oracle_gap,0.61,883,341,341,963,564,30.938,11.899,678,411
23.0,0.37,hash_L0L2_exact,0.683,1197,27,27,237,28,41.807,1.03,678,411
23.0,0.37,prevtok,0.683,1213,11,28,4774,20,42.48,0.358,691,415
23.0,0.37,prevtok_freq_backfill,0.683,1201,23,106,8560,62,42.094,0.743,729,443
23.0,0.37,oracle_gap,0.683,798,426,426,899,745,27.977,14.861,678,411
37.60000000000001,0.29,hash_L0L2_exact,0.876,1197,27,27,237,28,41.807,1.03,678,411
37.60000000000001,0.29,prevtok,0.876,1213,11,28,4774,20,42.48,0.358,691,415
37.60000000000001,0.29,prevtok_freq_backfill,0.876,1204,20,117,8549,71,42.194,0.643,737,449
37.60000000000001,0.29,oracle_gap,0.876,667,557,557,813,964,23.359,19.479,678,411
37.60000000000001,0.33,hash_L0L2_exact,0.997,1197,27,27,237,28,41.807,1.03,678,411
37.60000000000001,0.33,prevtok,0.997,1213,11,28,4774,20,42.48,0.358,691,415
37.60000000000001,0.33,prevtok_freq_backfill,0.997,1205,19,123,8543,71,42.234,0.603,740,453
37.60000000000001,0.33,oracle_gap,0.997,591,633,633,795,1101,20.765,22.073,678,411
37.60000000000001,0.37,hash_L0L2_exact,1.117,1182,42,42,199,45,41.24,1.598,678,411
37.60000000000001,0.37,prevtok,1.117,1211,13,34,33,31,42.419,0.418,695,415
37.60000000000001,0.37,prevtok_freq_backfill,1.117,1202,22,140,1619,89,42.15,0.688,751,456
37.60000000000001,0.37,oracle_gap,1.117,515,709,709,693,1235,18.005,24.833,678,411
