step,layer,gpu,requests,device_hits,host_hits,host_misses,prefetch_hits_at_demand,phase
0,0,0,39,0,0,39,0,prefill
0,1,0,41,0,0,41,0,prefill
0,2,0,36,0,0,36,0,prefill
0,3,0,29,0,0,29,0,prefill
0,4,0,25,0,0,25,0,prefill
0,5,0,28,0,0,28,0,prefill
0,6,0,27,0,0,27,0,prefill
0,7,0,31,0,0,31,0,prefill
0,8,0,27,0,0,27,0,prefill
0,9,0,30,0,0,30,0,prefill
0,10,0,25,0,0,25,0,prefill
0,11,0,28,0,0,28,0,prefill
0,12,0,29,0,0,29,0,prefill
0,13,0,26,0,0,26,0,prefill
0,14,0,24,0,0,24,0,prefill
0,15,0,30,0,0,30,0,prefill
0,16,0,26,0,0,26,0,prefill
0,17,0,22,0,0,22,0,prefill
0,18,0,25,0,0,25,0,prefill
0,19,0,32,0,0,32,0,prefill
0,20,0,26,0,0,26,0,prefill
0,21,0,27,0,0,27,0,prefill
0,22,1,26,0,0,26,0,prefill
0,23,1,28,0,0,28,0,prefill
0,24,1,26,0,0,26,0,prefill
0,25,1,24,0,0,24,0,prefill
0,26,1,29,0,0,29,0,prefill
0,27,1,30,0,0,30,0,prefill
0,28,1,31,0,0,31,0,prefill
0,29,1,33,0,0,33,0,prefill
0,30,1,27,0,0,27,0,prefill
0,31,1,28,0,0,28,0,prefill
0,32,1,24,0,0,24,0,prefill
0,33,1,28,0,0,28,0,prefill
0,34,1,28,0,0,28,0,prefill
0,35,1,33,0,0,33,0,prefill
0,36,1,23,0,0,23,0,prefill
0,37,1,27,0,0,27,0,prefill
0,38,1,32,0,0,32,0,prefill
0,39,1,31,0,0,31,0,prefill
0,40,1,27,0,0,27,0,prefill
0,41,1,30,0,0,30,0,prefill
0,42,1,31,0,0,31,0,prefill
1,0,0,6,1,0,5,0,decode
1,1,0,6,0,0,6,0,decode
1,2,0,6,0,0,6,0,decode
1,3,0,6,1,2,3,0,decode
1,4,0,6,1,2,3,0,decode
1,5,0,6,1,1,4,0,decode
1,6,0,6,3,3,0,0,decode
1,7,0,6,2,1,3,0,decode
1,8,0,6,2,2,2,0,decode
1,9,0,6,0,1,5,0,decode
1,10,0,6,2,2,2,0,decode
1,11,0,6,2,1,3,0,decode
1,12,0,6,1,4,1,0,decode
1,13,0,6,2,3,1,0,decode
1,14,0,6,2,2,2,0,decode
1,15,0,6,1,2,3,0,decode
1,16,0,6,1,2,3,0,decode
1,17,0,6,1,3,2,0,decode
1,18,0,6,1,3,2,0,decode
1,19,0,6,0,2,4,0,decode
1,20,0,6,1,2,3,0,decode
1,21,0,6,3,0,3,0,decode
1,22,1,6,0,4,2,0,decode
1,23,1,6,2,2,2,0,decode
1,24,1,6,1,4,1,0,decode
1,25,1,6,1,4,1,0,decode
1,26,1,6,3,3,0,0,decode
1,27,1,6,3,2,1,0,decode
1,28,1,6,2,3,1,0,decode
1,29,1,6,3,3,0,0,decode
1,30,1,6,3,1,2,0,decode
1,31,1,6,0,3,3,0,decode
1,32,1,6,2,3,1,0,decode
1,33,1,6,2,3,1,0,decode
1,34,1,6,3,2,1,0,decode
1,35,1,6,1,2,3,0,decode
1,36,1,6,4,1,1,0,decode
1,37,1,6,1,2,3,0,decode
1,38,1,6,5,1,0,0,decode
1,39,1,6,0,4,2,0,decode
1,40,1,6,1,1,4,0,decode
1,41,1,6,2,4,0,0,decode
1,42,1,6,4,1,1,0,decode
2,0,0,6,1,0,5,0,decode
2,1,0,6,1,1,4,0,decode
2,2,0,6,0,0,6,0,decode
2,3,0,6,1,2,3,0,decode
2,4,0,6,1,3,2,0,decode
2,5,0,6,2,3,1,0,decode
2,6,0,6,3,3,0,0,decode
2,7,0,6,2,2,2,0,decode
2,8,0,6,2,4,0,0,decode
2,9,0,6,3,3,0,0,decode
2,10,0,6,1,4,1,0,decode
2,11,0,6,3,3,0,0,decode
2,12,0,6,3,3,0,0,decode
2,13,0,6,2,3,1,0,decode
2,14,0,6,2,4,0,0,decode
2,15,0,6,1,4,1,0,decode
2,16,0,6,1,2,3,0,decode
2,17,0,6,0,5,1,0,decode
2,18,0,6,3,2,1,0,decode
2,19,0,6,5,1,0,0,decode
2,20,0,6,0,2,4,0,decode
2,21,0,6,3,1,2,0,decode
2,22,1,6,1,3,2,0,decode
2,23,1,6,2,1,3,0,decode
2,24,1,6,0,4,2,0,decode
2,25,1,6,2,3,1,0,decode
2,26,1,6,0,2,4,0,decode
2,27,1,6,4,1,1,0,decode
2,28,1,6,0,5,1,0,decode
2,29,1,6,2,3,1,0,decode
2,30,1,6,1,3,2,0,decode
2,31,1,6,1,2,3,0,decode
2,32,1,6,2,4,0,0,decode
2,33,1,6,2,3,1,0,decode
2,34,1,6,2,4,0,0,decode
2,35,1,6,1,2,3,0,decode
2,36,1,6,2,4,0,0,decode
2,37,1,6,2,4,0,0,decode
2,38,1,6,0,5,1,0,decode
2,39,1,6,2,1,3,0,decode
2,40,1,6,4,2,0,0,decode
2,41,1,6,3,2,1,0,decode
2,42,1,6,2,2,2,0,decode
3,0,0,6,4,0,2,0,decode
3,1,0,6,2,4,0,0,decode
3,2,0,6,3,3,0,0,decode
3,3,0,6,1,4,1,0,decode
3,4,0,6,2,2,2,0,decode
3,5,0,6,3,3,0,0,decode
3,6,0,6,2,2,2,0,decode
3,7,0,6,3,3,0,0,decode
3,8,0,6,1,3,2,0,decode
3,9,0,6,2,4,0,0,decode
3,10,0,6,2,2,2,0,decode
3,11,0,6,1,4,1,0,decode
3,12,0,6,3,0,3,0,decode
3,13,0,6,0,4,2,0,decode
3,14,0,6,1,2,3,0,decode
3,15,0,6,0,2,4,0,decode
3,16,0,6,1,1,4,0,decode
3,17,0,6,2,0,4,0,decode
3,18,0,6,1,3,2,0,decode
3,19,0,6,4,2,0,0,decode
3,20,0,6,2,3,1,0,decode
3,21,0,6,1,5,0,0,decode
3,22,1,6,1,4,1,0,decode
3,23,1,6,2,2,2,0,decode
3,24,1,6,2,2,2,0,decode
3,25,1,6,1,4,1,0,decode
3,26,1,6,2,3,1,0,decode
3,27,1,6,2,2,2,0,decode
3,28,1,6,0,3,3,0,decode
3,29,1,6,1,4,1,0,decode
3,30,1,6,3,3,0,0,decode
3,31,1,6,1,3,2,0,decode
3,32,1,6,1,3,2,0,decode
3,33,1,6,1,3,2,0,decode
3,34,1,6,1,4,1,0,decode
3,35,1,6,1,1,4,0,decode
3,36,1,6,1,3,2,0,decode
3,37,1,6,0,5,1,0,decode
3,38,1,6,3,2,1,0,decode
3,39,1,6,0,4,2,0,decode
