scope,regime,policy,pin_frac,budget_gib,slots,initial_records,initial_state_gib,contract,repopulation_charged,requests,hits,misses,evictions,hit_rate,prefill_misses,decode_misses,prefill_hits,decode_hits,miss_frac
full,A,lru,,8,642,0,0.0,A_online,0,5099,2056,3043,2401,0.403216,1229,1814,0,2056,0.596784
full,A,engine_priority_lru,,8,642,0,0.0,A_online,0,5099,710,4389,3747,0.139243,1229,3160,0,710,0.860757
full,A,arc,,8,642,0,0.0,A_online,0,5099,1596,3503,2861,0.313003,1229,2274,0,1596,0.686997
full,A,lfu,,8,642,0,0.0,A_online,0,5099,1980,3119,2477,0.388311,1229,1890,0,1980,0.611689
full,A,freq_x_recency,,8,642,0,0.0,A_online,0,5099,2066,3033,2391,0.405177,1229,1804,0,2066,0.594823
full,A,layer_lru,,8,642,0,0.0,A_online,0,5099,1910,3189,2587,0.374583,1229,1960,0,1910,0.625417
full,A,cost_aware,,8,642,0,0.0,A_online,0,5099,2056,3043,2401,0.403216,1229,1814,0,2056,0.596784
full,A,belady_cold,,8,642,0,0.0,A_online,0,5099,2735,2364,1722,0.53638,1229,1135,0,2735,0.46362
full,B,freq_lru_warmup,0.5,8,642,0,0.0,B_causal_warmup,321,5099,1577,3843,3201,0.309276,1229,2614,0,1577,0.753677
full,B,freq_lru_warmup_s4,0.5,8,642,0,0.0,B_causal_warmup,0,5099,1876,3223,2581,0.367915,1229,1994,0,1876,0.632085
full,C,static_freq_prewarm,,8,642,642,7.994,C1_bypass_fixed_set,0,5099,3084,2015,0,0.604824,821,1194,408,2676,0.395176
full,C,static_layer_freq_prewarm,,8,642,602,7.496,C1_bypass_fixed_set_layer_budgeted,0,5099,2987,2112,0,0.585801,859,1253,370,2617,0.414199
full,C,freq_lru_prewarm,0.25,8,642,160,1.992,C3_pin_protected_plus_lru_remainder,0,5099,2270,2829,2347,0.445185,1119,1710,110,2160,0.554815
full,C,freq_lru_prewarm,0.5,8,642,321,3.997,C3_pin_protected_plus_lru_remainder,0,5099,2574,2525,2204,0.504805,1042,1483,187,2387,0.495195
full,C,freq_lru_prewarm,0.75,8,642,481,5.989,C3_pin_protected_plus_lru_remainder,0,5099,2864,2235,2074,0.561679,954,1281,275,2589,0.438321
full,C,freq_lru_prewarm,0.9,8,642,577,7.184,C3_pin_protected_plus_lru_remainder,0,5099,2961,2138,2073,0.580702,886,1252,343,2618,0.419298
full,C,freq_lru_prewarm,0.99,8,642,635,7.906,C3_pin_protected_plus_lru_remainder,0,5099,3070,2029,2022,0.602079,828,1201,401,2669,0.397921
full,C,lru_prewarm_topN,,8,642,642,7.994,C2_fetch_on_fault,0,5099,2211,2888,2888,0.433614,1074,1814,155,2056,0.566386
full,C,belady_same_state_prewarm,,8,642,642,7.994,C2_fetch_on_fault,0,5099,3296,1803,1803,0.646401,821,982,408,2888,0.353599
full,C,belady_pin_same_state,0.25,8,642,160,1.992,C3_pin_protected_plus_min_dynamics,0,5099,2895,2204,1722,0.567758,1119,1085,110,2785,0.432242
full,C,belady_pin_same_state,0.5,8,642,321,3.997,C3_pin_protected_plus_min_dynamics,0,5099,3056,2043,1722,0.599333,1042,1001,187,2869,0.400667
full,C,belady_pin_same_state,0.75,8,642,481,5.989,C3_pin_protected_plus_min_dynamics,0,5099,3163,1936,1775,0.620318,954,982,275,2888,0.379682
full,C,belady_pin_same_state,0.9,8,642,577,7.184,C3_pin_protected_plus_min_dynamics,0,5099,3197,1902,1837,0.626986,886,1016,343,2854,0.373014
full,C,belady_pin_same_state,0.99,8,642,635,7.906,C3_pin_protected_plus_min_dynamics,0,5099,3129,1970,1963,0.61365,828,1142,401,2728,0.38635
full,A,lru,,12,963,0,0.0,A_online,0,5099,2376,2723,1760,0.465974,1229,1494,0,2376,0.534026
full,A,engine_priority_lru,,12,963,0,0.0,A_online,0,5099,1174,3925,2962,0.230241,1229,2696,0,1174,0.769759
full,A,arc,,12,963,0,0.0,A_online,0,5099,2188,2911,1948,0.429104,1229,1682,0,2188,0.570896
full,A,lfu,,12,963,0,0.0,A_online,0,5099,2374,2725,1762,0.465581,1229,1496,0,2374,0.534419
full,A,freq_x_recency,,12,963,0,0.0,A_online,0,5099,2381,2718,1755,0.466954,1229,1489,0,2381,0.533046
full,A,layer_lru,,12,963,0,0.0,A_online,0,5099,2352,2747,1801,0.461267,1229,1518,0,2352,0.538733
full,A,cost_aware,,12,963,0,0.0,A_online,0,5099,2376,2723,1760,0.465974,1229,1494,0,2376,0.534026
full,A,belady_cold,,12,963,0,0.0,A_online,0,5099,2735,2364,1401,0.53638,1229,1135,0,2735,0.46362
full,B,freq_lru_warmup,0.5,12,963,0,0.0,B_causal_warmup,266,5099,2086,3279,2316,0.4091,1229,2050,0,2086,0.643067
full,B,freq_lru_warmup_s4,0.5,12,963,0,0.0,B_causal_warmup,92,5099,2371,2820,1857,0.464993,1229,1591,0,2371,0.55305
full,C,static_freq_prewarm,,12,963,963,11.99,C1_bypass_fixed_set,0,5099,3698,1401,0,0.72524,716,685,513,3185,0.27476
full,C,static_layer_freq_prewarm,,12,963,946,11.779,C1_bypass_fixed_set_layer_budgeted,0,5099,3615,1484,0,0.708963,671,813,558,3057,0.291037
full,C,freq_lru_prewarm,0.25,12,963,240,2.988,C3_pin_protected_plus_lru_remainder,0,5099,2675,2424,1701,0.524613,1076,1348,153,2522,0.475387
full,C,freq_lru_prewarm,0.5,12,963,481,5.989,C3_pin_protected_plus_lru_remainder,0,5099,3016,2083,1601,0.591489,954,1129,275,2741,0.408511
full,C,freq_lru_prewarm,0.75,12,963,722,8.99,C3_pin_protected_plus_lru_remainder,0,5099,3372,1727,1486,0.661306,744,983,485,2887,0.338694
full,C,freq_lru_prewarm,0.9,12,963,866,10.783,C3_pin_protected_plus_lru_remainder,0,5099,3580,1519,1422,0.702098,744,775,485,3095,0.297902
full,C,freq_lru_prewarm,0.99,12,963,953,11.866,C3_pin_protected_plus_lru_remainder,0,5099,3688,1411,1401,0.723279,726,685,503,3185,0.276721
full,C,lru_prewarm_topN,,12,963,963,11.99,C2_fetch_on_fault,0,5099,2718,2381,2381,0.533046,887,1494,342,2376,0.466954
full,C,belady_same_state_prewarm,,12,963,963,11.99,C2_fetch_on_fault,0,5099,3698,1401,1401,0.72524,716,685,513,3185,0.27476
full,C,belady_pin_same_state,0.25,12,963,240,2.988,C3_pin_protected_plus_min_dynamics,0,5099,2975,2124,1401,0.583448,1076,1048,153,2822,0.416552
full,C,belady_pin_same_state,0.5,12,963,481,5.989,C3_pin_protected_plus_min_dynamics,0,5099,3216,1883,1401,0.630712,954,929,275,2941,0.369288
full,C,belady_pin_same_state,0.75,12,963,722,8.99,C3_pin_protected_plus_min_dynamics,0,5099,3457,1642,1401,0.677976,744,898,485,2972,0.322024
full,C,belady_pin_same_state,0.9,12,963,866,10.783,C3_pin_protected_plus_min_dynamics,0,5099,3601,1498,1401,0.706217,744,754,485,3116,0.293783
full,C,belady_pin_same_state,0.99,12,963,953,11.866,C3_pin_protected_plus_min_dynamics,0,5099,3688,1411,1401,0.723279,726,685,503,3185,0.276721
full,A,lru,,16,1285,0,0.0,A_online,0,5099,2592,2507,1222,0.508335,1229,1278,0,2592,0.491665
full,A,engine_priority_lru,,16,1285,0,0.0,A_online,0,5099,1738,3361,2076,0.340851,1229,2132,0,1738,0.659149
full,A,arc,,16,1285,0,0.0,A_online,0,5099,2572,2527,1242,0.504413,1229,1298,0,2572,0.495587
full,A,lfu,,16,1285,0,0.0,A_online,0,5099,2592,2507,1222,0.508335,1229,1278,0,2592,0.491665
full,A,freq_x_recency,,16,1285,0,0.0,A_online,0,5099,2593,2506,1221,0.508531,1229,1277,0,2593,0.491469
full,A,layer_lru,,16,1285,0,0.0,A_online,0,5099,2561,2538,1291,0.502255,1229,1309,0,2561,0.497745
full,A,cost_aware,,16,1285,0,0.0,A_online,0,5099,2592,2507,1222,0.508335,1229,1278,0,2592,0.491665
full,A,belady_cold,,16,1285,0,0.0,A_online,0,5099,2735,2364,1079,0.53638,1229,1135,0,2735,0.46362
full,B,freq_lru_warmup,0.5,16,1285,0,0.0,B_causal_warmup,0,5099,2517,2582,1297,0.493626,1229,1353,0,2517,0.506374
full,B,freq_lru_warmup_s4,0.5,16,1285,0,0.0,B_causal_warmup,180,5099,2572,2707,1422,0.504413,1229,1478,0,2572,0.530888
full,C,static_freq_prewarm,,16,1285,1285,16.0,C1_bypass_fixed_set,0,5099,4020,1079,0,0.78839,394,685,835,3185,0.21161
full,C,static_layer_freq_prewarm,,16,1285,1247,15.527,C1_bypass_fixed_set_layer_budgeted,0,5099,3979,1120,0,0.780349,430,690,799,3180,0.219651
full,C,freq_lru_prewarm,0.25,16,1285,321,3.997,C3_pin_protected_plus_lru_remainder,0,5099,2923,2176,1212,0.57325,1042,1134,187,2736,0.42675
full,C,freq_lru_prewarm,0.5,16,1285,642,7.994,C3_pin_protected_plus_lru_remainder,0,5099,3346,1753,1110,0.656207,821,932,408,2938,0.343793
full,C,freq_lru_prewarm,0.75,16,1285,963,11.99,C3_pin_protected_plus_lru_remainder,0,5099,3698,1401,1079,0.72524,716,685,513,3185,0.27476
