scope,policy,regime,budget_gib_lo,budget_gib_hi,extra_hits_per_GiB,saved_slow_MiB_per_added_GiB
full,lru,A,4.0,5.0,36,459.0
full,lru,A,5.0,6.0,315,4016.2
full,lru,A,6.0,7.0,67,854.2
full,lru,A,7.0,8.0,325,4143.8
full,lru,A,8.0,9.0,103,1313.2
full,lru,A,9.0,10.0,61,777.8
full,lru,A,10.0,11.0,67,854.2
full,lru,A,11.0,12.0,89,1134.8
full,lru,A,12.0,13.0,54,688.5
full,lru,A,13.0,14.0,58,739.5
full,lru,A,14.0,15.0,58,739.5
full,lru,A,15.0,16.0,46,586.5
full,lru,A,16.0,17.0,29,369.8
full,lru,A,17.0,18.0,23,293.2
full,lru,A,18.0,19.0,14,178.5
full,lru,A,19.0,20.0,10,127.5
full,lru,A,20.0,21.0,14,178.5
full,lru,A,21.0,22.0,6,76.5
full,lru,A,22.0,23.0,8,102.0
full,lru,A,23.0,24.0,11,140.2
full,lru,A,24.0,25.0,10,127.5
full,lru,A,25.0,26.0,8,102.0
full,lru,A,26.0,27.0,4,51.0
full,lru,A,27.0,28.0,4,51.0
full,lru,A,28.0,29.0,2,25.5
full,lru,A,29.0,30.0,0,0.0
full,lru,A,30.0,31.0,0,0.0
full,lru,A,31.0,32.0,0,0.0
full,lru,A,32.0,33.0,0,0.0
full,lru,A,33.0,34.0,0,0.0
full,lru,A,34.0,35.0,0,0.0
full,lru,A,35.0,36.0,0,0.0
full,lru,A,36.0,37.0,0,0.0
full,lru,A,37.0,38.0,0,0.0
full,lru,A,38.0,39.0,0,0.0
full,lru,A,39.0,40.0,0,0.0
full,static_freq_prewarm,C,4.0,5.0,247,3149.2
full,static_freq_prewarm,C,5.0,6.0,240,3060.0
full,static_freq_prewarm,C,6.0,7.0,190,2422.5
full,static_freq_prewarm,C,7.0,8.0,160,2040.0
full,static_freq_prewarm,C,8.0,9.0,160,2040.0
full,static_freq_prewarm,C,9.0,10.0,162,2065.5
full,static_freq_prewarm,C,10.0,11.0,160,2040.0
full,static_freq_prewarm,C,11.0,12.0,132,1683.0
full,static_freq_prewarm,C,12.0,13.0,81,1032.8
full,static_freq_prewarm,C,13.0,14.0,80,1020.0
full,static_freq_prewarm,C,14.0,15.0,80,1020.0
full,static_freq_prewarm,C,15.0,16.0,81,1032.8
full,static_freq_prewarm,C,16.0,17.0,80,1020.0
full,static_freq_prewarm,C,17.0,18.0,80,1020.0
full,static_freq_prewarm,C,18.0,19.0,80,1020.0
full,static_freq_prewarm,C,19.0,20.0,81,1032.8
full,static_freq_prewarm,C,20.0,21.0,80,1020.0
full,static_freq_prewarm,C,21.0,22.0,80,1020.0
full,static_freq_prewarm,C,22.0,23.0,81,1032.8
full,static_freq_prewarm,C,23.0,24.0,80,1020.0
full,static_freq_prewarm,C,24.0,25.0,80,1020.0
full,static_freq_prewarm,C,25.0,26.0,81,1032.8
full,static_freq_prewarm,C,26.0,27.0,80,1020.0
full,static_freq_prewarm,C,27.0,28.0,80,1020.0
full,static_freq_prewarm,C,28.0,29.0,81,1032.8
full,static_freq_prewarm,C,29.0,30.0,35,446.2
full,static_freq_prewarm,C,30.0,31.0,0,0.0
full,static_freq_prewarm,C,31.0,32.0,0,0.0
full,static_freq_prewarm,C,32.0,33.0,0,0.0
full,static_freq_prewarm,C,33.0,34.0,0,0.0
full,static_freq_prewarm,C,34.0,35.0,0,0.0
full,static_freq_prewarm,C,35.0,36.0,0,0.0
full,static_freq_prewarm,C,36.0,37.0,0,0.0
full,static_freq_prewarm,C,37.0,38.0,0,0.0
full,static_freq_prewarm,C,38.0,39.0,0,0.0
full,static_freq_prewarm,C,39.0,40.0,0,0.0
full,freq_lru_warmup,B,4.0,5.0,51,650.2
full,freq_lru_warmup,B,5.0,6.0,664,8466.0
full,freq_lru_warmup,B,6.0,7.0,703,8963.2
full,freq_lru_warmup,B,7.0,8.0,48,612.0
full,freq_lru_warmup,B,8.0,9.0,93,1185.8
full,freq_lru_warmup,B,9.0,10.0,237,3021.8
full,freq_lru_warmup,B,10.0,11.0,98,1249.5
full,freq_lru_warmup,B,11.0,12.0,81,1032.8
full,freq_lru_warmup,B,12.0,13.0,136,1734.0
full,freq_lru_warmup,B,13.0,14.0,165,2103.8
full,freq_lru_warmup,B,14.0,15.0,73,930.8
full,freq_lru_warmup,B,15.0,16.0,57,726.8
full,freq_lru_warmup,B,16.0,17.0,53,675.8
full,freq_lru_warmup,B,17.0,18.0,29,369.8
full,freq_lru_warmup,B,18.0,19.0,38,484.5
full,freq_lru_warmup,B,19.0,20.0,18,229.5
full,freq_lru_warmup,B,20.0,21.0,9,114.8
full,freq_lru_warmup,B,21.0,22.0,11,140.2
full,freq_lru_warmup,B,22.0,23.0,22,280.5
full,freq_lru_warmup,B,23.0,24.0,9,114.8
full,freq_lru_warmup,B,24.0,25.0,16,204.0
full,freq_lru_warmup,B,25.0,26.0,8,102.0
full,freq_lru_warmup,B,26.0,27.0,4,51.0
full,freq_lru_warmup,B,27.0,28.0,0,0.0
full,freq_lru_warmup,B,28.0,29.0,1,12.8
full,freq_lru_warmup,B,29.0,30.0,0,0.0
full,freq_lru_warmup,B,30.0,31.0,0,0.0
full,freq_lru_warmup,B,31.0,32.0,0,0.0
full,freq_lru_warmup,B,32.0,33.0,0,0.0
full,freq_lru_warmup,B,33.0,34.0,0,0.0
full,freq_lru_warmup,B,34.0,35.0,0,0.0
full,freq_lru_warmup,B,35.0,36.0,0,0.0
full,freq_lru_warmup,B,36.0,37.0,0,0.0
full,freq_lru_warmup,B,37.0,38.0,0,0.0
full,freq_lru_warmup,B,38.0,39.0,0,0.0
full,freq_lru_warmup,B,39.0,40.0,0,0.0
full,freq_lru_warmup_s4,B,4.0,5.0,543,6923.2
full,freq_lru_warmup_s4,B,5.0,6.0,299,3812.2
full,freq_lru_warmup_s4,B,6.0,7.0,71,905.2
full,freq_lru_warmup_s4,B,7.0,8.0,130,1657.5
full,freq_lru_warmup_s4,B,8.0,9.0,175,2231.2
full,freq_lru_warmup_s4,B,9.0,10.0,92,1173.0
full,freq_lru_warmup_s4,B,10.0,11.0,82,1045.5
full,freq_lru_warmup_s4,B,11.0,12.0,146,1861.5
full,freq_lru_warmup_s4,B,12.0,13.0,59,752.2
full,freq_lru_warmup_s4,B,13.0,14.0,64,816.0
full,freq_lru_warmup_s4,B,14.0,15.0,42,535.5
full,freq_lru_warmup_s4,B,15.0,16.0,36,459.0
full,freq_lru_warmup_s4,B,16.0,17.0,37,471.8
full,freq_lru_warmup_s4,B,17.0,18.0,18,229.5
full,freq_lru_warmup_s4,B,18.0,19.0,22,280.5
full,freq_lru_warmup_s4,B,19.0,20.0,27,344.2
full,freq_lru_warmup_s4,B,20.0,21.0,13,165.8
full,freq_lru_warmup_s4,B,21.0,22.0,12,153.0
full,freq_lru_warmup_s4,B,22.0,23.0,9,114.8
full,freq_lru_warmup_s4,B,23.0,24.0,14,178.5
full,freq_lru_warmup_s4,B,24.0,25.0,7,89.2
full,freq_lru_warmup_s4,B,25.0,26.0,2,25.5
full,freq_lru_warmup_s4,B,26.0,27.0,1,12.8
full,freq_lru_warmup_s4,B,27.0,28.0,0,0.0
full,freq_lru_warmup_s4,B,28.0,29.0,1,12.8
full,freq_lru_warmup_s4,B,29.0,30.0,0,0.0
full,freq_lru_warmup_s4,B,30.0,31.0,0,0.0
full,freq_lru_warmup_s4,B,31.0,32.0,0,0.0
full,freq_lru_warmup_s4,B,32.0,33.0,0,0.0
full,freq_lru_warmup_s4,B,33.0,34.0,0,0.0
full,freq_lru_warmup_s4,B,34.0,35.0,0,0.0
full,freq_lru_warmup_s4,B,35.0,36.0,0,0.0
full,freq_lru_warmup_s4,B,36.0,37.0,0,0.0
full,freq_lru_warmup_s4,B,37.0,38.0,0,0.0
full,freq_lru_warmup_s4,B,38.0,39.0,0,0.0
full,freq_lru_warmup_s4,B,39.0,40.0,0,0.0
full,freq_lru_prewarm,C,4.0,5.0,-491,-6260.2
full,freq_lru_prewarm,C,5.0,6.0,-515,-6566.2
full,freq_lru_prewarm,C,6.0,7.0,-633,-8070.8
full,freq_lru_prewarm,C,7.0,8.0,-642,-8185.5
full,freq_lru_prewarm,C,8.0,9.0,-640,-8160.0
full,freq_lru_prewarm,C,9.0,10.0,-701,-8937.8
full,freq_lru_prewarm,C,10.0,11.0,-794,-10123.5
full,freq_lru_prewarm,C,11.0,12.0,-873,-11130.8
full,freq_lru_prewarm,C,12.0,13.0,-934,-11908.5
full,freq_lru_prewarm,C,13.0,14.0,-953,-12150.8
full,freq_lru_prewarm,C,14.0,15.0,-980,-12495.0
full,freq_lru_prewarm,C,15.0,16.0,-1003,-12788.2
full,freq_lru_prewarm,C,16.0,17.0,-1039,-13247.2
full,freq_lru_prewarm,C,17.0,18.0,-1069,-13629.8
full,freq_lru_prewarm,C,18.0,19.0,-1113,-14190.8
full,freq_lru_prewarm,C,19.0,20.0,-1162,-14815.5
full,freq_lru_prewarm,C,20.0,21.0,-1215,-15491.2
full,freq_lru_prewarm,C,21.0,22.0,-1268,-16167.0
full,freq_lru_prewarm,C,22.0,23.0,-1322,-16855.5
full,freq_lru_prewarm,C,23.0,24.0,-1372,-17493.0
full,freq_lru_prewarm,C,24.0,25.0,-1424,-18156.0
full,freq_lru_prewarm,C,25.0,26.0,-1473,-18780.8
full,freq_lru_prewarm,C,26.0,27.0,-1530,-19507.5
full,freq_lru_prewarm,C,27.0,28.0,-1584,-20196.0
full,freq_lru_prewarm,C,28.0,29.0,-1643,-20948.2
full,freq_lru_prewarm,C,29.0,30.0,-1703,-21713.2
full,freq_lru_prewarm,C,30.0,31.0,-1742,-22210.5
full,freq_lru_prewarm,C,31.0,32.0,-1722,-21955.5
full,freq_lru_prewarm,C,32.0,33.0,-1702,-21700.5
full,freq_lru_prewarm,C,33.0,34.0,-1682,-21445.5
full,freq_lru_prewarm,C,34.0,35.0,-1662,-21190.5
full,freq_lru_prewarm,C,35.0,36.0,-1642,-20935.5
full,freq_lru_prewarm,C,36.0,37.0,-1622,-20680.5
full,freq_lru_prewarm,C,37.0,38.0,-1602,-20425.5
full,freq_lru_prewarm,C,38.0,39.0,-1581,-20157.8
full,freq_lru_prewarm,C,39.0,40.0,-1561,-19902.8
