scope,policy,pin_frac,budget_gib,slots,requests,hits,misses,hit_rate,evictions,miss_frac
full,lru,0.5,8,642,5099,2056,3043,0.403216,2401,0.596784
full,engine_priority_lru,0.5,8,642,5099,710,4389,0.139243,3747,0.860757
full,arc,0.5,8,642,5099,1596,3503,0.313003,2861,0.686997
full,lfu,0.5,8,642,5099,1980,3119,0.388311,2477,0.611689
full,static_freq,0.5,8,642,5099,3084,2015,0.604824,0,0.395176
full,static_layer_freq,0.5,8,642,5099,2987,2112,0.585801,0,0.414199
full,freq_lru,0.25,8,642,5099,2270,2829,0.445185,2347,0.554815
full,freq_lru,0.5,8,642,5099,2574,2525,0.504805,2204,0.495195
full,freq_lru,0.75,8,642,5099,2864,2235,0.561679,2074,0.438321
full,freq_lru_warmup,0.5,8,642,5099,1898,3201,0.37223,2880,0.62777
full,freq_x_recency,0.5,8,642,5099,2066,3033,0.405177,2391,0.594823
full,layer_lru,0.5,8,642,5099,1910,3189,0.374583,2587,0.625417
full,cost_aware,0.5,8,642,5099,2056,3043,0.403216,2401,0.596784
full,belady,0.5,8,642,5099,2735,2364,0.53638,1722,0.46362
full,lru,0.5,12,963,5099,2376,2723,0.465974,1760,0.534026
full,engine_priority_lru,0.5,12,963,5099,1174,3925,0.230241,2962,0.769759
full,arc,0.5,12,963,5099,2188,2911,0.429104,1948,0.570896
full,lfu,0.5,12,963,5099,2374,2725,0.465581,1762,0.534419
full,static_freq,0.5,12,963,5099,3698,1401,0.72524,0,0.27476
full,static_layer_freq,0.5,12,963,5099,3615,1484,0.708963,0,0.291037
full,freq_lru,0.25,12,963,5099,2675,2424,0.524613,1701,0.475387
full,freq_lru,0.5,12,963,5099,3016,2083,0.591489,1601,0.408511
full,freq_lru,0.75,12,963,5099,3372,1727,0.661306,1486,0.338694
full,freq_lru_warmup,0.5,12,963,5099,2567,2532,0.503432,2050,0.496568
full,freq_x_recency,0.5,12,963,5099,2381,2718,0.466954,1755,0.533046
full,layer_lru,0.5,12,963,5099,2352,2747,0.461267,1801,0.538733
full,cost_aware,0.5,12,963,5099,2376,2723,0.465974,1760,0.534026
full,belady,0.5,12,963,5099,2735,2364,0.53638,1401,0.46362
full,lru,0.5,16,1285,5099,2592,2507,0.508335,1222,0.491665
full,engine_priority_lru,0.5,16,1285,5099,1738,3361,0.340851,2076,0.659149
full,arc,0.5,16,1285,5099,2572,2527,0.504413,1242,0.495587
full,lfu,0.5,16,1285,5099,2592,2507,0.508335,1222,0.491665
full,static_freq,0.5,16,1285,5099,4020,1079,0.78839,0,0.21161
full,static_layer_freq,0.5,16,1285,5099,3979,1120,0.780349,0,0.219651
full,freq_lru,0.25,16,1285,5099,2923,2176,0.57325,1212,0.42675
full,freq_lru,0.5,16,1285,5099,3346,1753,0.656207,1110,0.343793
full,freq_lru,0.75,16,1285,5099,3698,1401,0.72524,1079,0.27476
full,freq_lru_warmup,0.5,16,1285,5099,3159,1940,0.619533,1297,0.380467
full,freq_x_recency,0.5,16,1285,5099,2593,2506,0.508531,1221,0.491469
full,layer_lru,0.5,16,1285,5099,2561,2538,0.502255,1291,0.497745
full,cost_aware,0.5,16,1285,5099,2592,2507,0.508335,1222,0.491665
full,belady,0.5,16,1285,5099,2735,2364,0.53638,1079,0.46362
full,lru,0.5,20,1606,5099,2668,2431,0.52324,825,0.47676
full,engine_priority_lru,0.5,20,1606,5099,2227,2872,0.436752,1266,0.563248
full,arc,0.5,20,1606,5099,2663,2436,0.522259,830,0.477741
full,lfu,0.5,20,1606,5099,2668,2431,0.52324,825,0.47676
full,static_freq,0.5,20,1606,5099,4341,758,0.851343,0,0.148657
full,static_layer_freq,0.5,20,1606,5099,4325,774,0.848206,0,0.151794
full,freq_lru,0.25,20,1606,5099,3082,2017,0.604432,812,0.395568
full,freq_lru,0.5,20,1606,5099,3538,1561,0.693862,758,0.306138
