scope,policy,pin_frac,budget_gib,slots,requests,hits,misses,hit_rate,evictions,miss_frac,ssd_GiB_total,ssd_MiB_per_token,wall_prod_0.29,wall_lanes1_0.35,wall_qd1_0.37,wall_3gibs,wall_5gibs,wall_7gibs,wall_12gibs,ram_cost_GiB
full,lru,0.5,8,642,5099,2056,3043,0.403216,2401,0.596784,37.89,2424.9,8.17,6.77,6.4,0.79,0.47,0.34,0.2,8.0
full,engine_priority_lru,0.5,8,642,5099,710,4389,0.139243,3747,0.860757,54.65,3497.5,11.78,9.76,9.23,1.14,0.68,0.49,0.28,8.0
full,arc,0.5,8,642,5099,1596,3503,0.313003,2861,0.686997,43.62,2791.5,9.4,7.79,7.37,0.91,0.55,0.39,0.23,8.0
full,lfu,0.5,8,642,5099,1980,3119,0.388311,2477,0.611689,38.84,2485.5,8.37,6.93,6.56,0.81,0.49,0.35,0.2,8.0
full,static_freq,0.5,8,642,5099,3084,2015,0.604824,0,0.395176,25.09,1605.7,5.41,4.48,4.24,0.52,0.31,0.22,0.13,8.0
full,static_layer_freq,0.5,8,642,5099,2987,2112,0.585801,0,0.414199,26.3,1683.0,5.67,4.7,4.44,0.55,0.33,0.23,0.14,8.0
full,freq_lru,0.25,8,642,5099,2270,2829,0.445185,2347,0.554815,35.22,2254.4,7.59,6.29,5.95,0.73,0.44,0.31,0.18,8.0
full,freq_lru,0.5,8,642,5099,2574,2525,0.504805,2204,0.495195,31.44,2012.1,6.78,5.61,5.31,0.65,0.39,0.28,0.16,8.0
full,freq_lru,0.75,8,642,5099,2864,2235,0.561679,2074,0.438321,27.83,1781.0,6.0,4.97,4.7,0.58,0.35,0.25,0.14,8.0
full,freq_lru_warmup,0.5,8,642,5099,1898,3201,0.37223,2880,0.62777,39.86,2550.8,8.59,7.12,6.73,0.83,0.5,0.36,0.21,8.0
full,freq_x_recency,0.5,8,642,5099,2066,3033,0.405177,2391,0.594823,37.76,2416.9,8.14,6.74,6.38,0.79,0.47,0.34,0.2,8.0
full,layer_lru,0.5,8,642,5099,1910,3189,0.374583,2587,0.625417,39.71,2541.2,8.56,7.09,6.71,0.83,0.5,0.35,0.21,8.0
full,cost_aware,0.5,8,642,5099,2056,3043,0.403216,2401,0.596784,37.89,2424.9,8.17,6.77,6.4,0.79,0.47,0.34,0.2,8.0
full,belady,0.5,8,642,5099,2735,2364,0.53638,1722,0.46362,29.43,1883.8,6.34,5.26,4.97,0.61,0.37,0.26,0.15,8.0
full,lru,0.5,12,963,5099,2376,2723,0.465974,1760,0.534026,33.9,2169.9,7.31,6.05,5.73,0.71,0.42,0.3,0.18,12.0
full,engine_priority_lru,0.5,12,963,5099,1174,3925,0.230241,2962,0.769759,48.87,3127.7,10.53,8.73,8.26,1.02,0.61,0.44,0.25,12.0
full,arc,0.5,12,963,5099,2188,2911,0.429104,1948,0.570896,36.25,2319.7,7.81,6.47,6.12,0.76,0.45,0.32,0.19,12.0
