scope,regime,policy,pin_frac,budget_gib,slots,initial_records,initial_state_gib,repopulation_charged,requests,hits,misses,evictions,hit_rate,prefill_misses,decode_misses,prefill_hits,decode_hits,miss_frac,ssd_MiB_per_token,wall_s_at_0.29GiBps,wall_s_at_0.33GiBps,wall_s_at_0.37GiBps,wall_s_at_3.0GiBps,wall_s_at_5.0GiBps,wall_s_at_7.0GiBps,wall_s_at_12.0GiBps
full,A,lru,,8,642,0,0.0,0,5099,2056,3043,2401,0.403216,1229,1814,0,2056,0.596784,2424.9,130.651,114.815,102.402,12.63,7.578,5.413,3.157
full,A,engine_priority_lru,,8,642,0,0.0,0,5099,710,4389,3747,0.139243,1229,3160,0,710,0.860757,3497.5,188.442,165.601,147.698,18.216,10.93,7.807,4.554
full,A,arc,,8,642,0,0.0,0,5099,1596,3503,2861,0.313003,1229,2274,0,1596,0.686997,2791.5,150.402,132.171,117.882,14.539,8.723,6.231,3.635
full,A,lfu,,8,642,0,0.0,0,5099,1980,3119,2477,0.388311,1229,1890,0,1980,0.611689,2485.5,133.915,117.682,104.96,12.945,7.767,5.548,3.236
full,A,freq_x_recency,,8,642,0,0.0,0,5099,2066,3033,2391,0.405177,1229,1804,0,2066,0.594823,2416.9,130.222,114.438,102.066,12.588,7.553,5.395,3.147
full,A,layer_lru,,8,642,0,0.0,0,5099,1910,3189,2587,0.374583,1229,1960,0,1910,0.625417,2541.2,136.92,120.324,107.316,13.236,7.941,5.672,3.309
full,A,cost_aware,,8,642,0,0.0,0,5099,2056,3043,2401,0.403216,1229,1814,0,2056,0.596784,2424.9,130.651,114.815,102.402,12.63,7.578,5.413,3.157
full,A,belady_cold,,8,642,0,0.0,0,5099,2735,2364,1722,0.53638,1229,1135,0,2735,0.46362,1883.8,101.499,89.196,79.553,9.812,5.887,4.205,2.453
full,B,freq_lru_warmup,0.5,8,642,0,0.0,321,5099,1577,3843,3201,0.309276,1229,2614,0,1577,0.753677,3062.4,164.999,145.0,129.324,15.95,9.57,6.836,3.987
full,B,freq_lru_warmup_s4,0.5,8,642,0,0.0,0,5099,1876,3223,2581,0.367915,1229,1994,0,1876,0.632085,2568.3,138.38,121.606,108.46,13.377,8.026,5.733,3.344
full,C,static_freq_prewarm,,8,642,642,7.994,0,5099,3084,2015,0,0.604824,821,1194,408,2676,0.395176,1605.7,86.514,76.028,67.808,8.363,5.018,3.584,2.091
full,C,static_layer_freq_prewarm,,8,642,602,7.496,0,5099,2987,2112,0,0.585801,859,1253,370,2617,0.414199,1683.0,90.679,79.688,71.073,8.766,5.259,3.757,2.191
full,C,freq_lru_prewarm,0.25,8,642,160,1.992,0,5099,2270,2829,2347,0.445185,1119,1710,110,2160,0.554815,2254.4,121.463,106.741,95.201,11.741,7.045,5.032,2.935
full,C,freq_lru_prewarm,0.5,8,642,321,3.997,0,5099,2574,2525,2204,0.504805,1042,1483,187,2387,0.495195,2012.1,108.411,95.27,84.971,10.48,6.288,4.491,2.62
full,C,freq_lru_prewarm,0.75,8,642,481,5.989,0,5099,2864,2235,2074,0.561679,954,1281,275,2589,0.438321,1781.0,95.96,84.328,75.212,9.276,5.566,3.975,2.319
full,C,freq_lru_prewarm,0.9,8,642,577,7.184,0,5099,2961,2138,2073,0.580702,886,1252,343,2618,0.419298,1703.7,91.795,80.669,71.948,8.874,5.324,3.803,2.218
full,C,freq_lru_prewarm,0.99,8,642,635,7.906,0,5099,3070,2029,2022,0.602079,828,1201,401,2669,0.397921,1616.9,87.115,76.556,68.28,8.421,5.053,3.609,2.105
full,C,lru_prewarm_topN,,8,642,642,7.994,0,5099,2211,2888,2888,0.433614,1074,1814,155,2056,0.566386,2301.4,123.996,108.967,97.186,11.986,7.192,5.137,2.997
full,C,belady_same_state_prewarm,,8,642,642,7.994,0,5099,3296,1803,1803,0.646401,821,982,408,2888,0.353599,1436.8,77.412,68.029,60.674,7.483,4.49,3.207,1.871
full,C,belady_pin_same_state,0.25,8,642,160,1.992,0,5099,2895,2204,1722,0.567758,1119,1085,110,2785,0.432242,1756.3,94.629,83.159,74.169,9.147,5.488,3.92,2.287
full,C,belady_pin_same_state,0.5,8,642,321,3.997,0,5099,3056,2043,1722,0.599333,1042,1001,187,2869,0.400667,1628.0,87.716,77.084,68.751,8.479,5.088,3.634,2.12
full,C,belady_pin_same_state,0.75,8,642,481,5.989,0,5099,3163,1936,1775,0.620318,954,982,275,2888,0.379682,1542.8,83.122,73.047,65.15,8.035,4.821,3.444,2.009
full,C,belady_pin_same_state,0.9,8,642,577,7.184,0,5099,3197,1902,1837,0.626986,886,1016,343,2854,0.373014,1515.7,81.663,71.764,64.006,7.894,4.736,3.383,1.974
full,C,belady_pin_same_state,0.99,8,642,635,7.906,0,5099,3129,1970,1963,0.61365,828,1142,401,2728,0.38635,1569.8,84.582,74.33,66.294,8.176,4.906,3.504,2.044
full,A,lru,,12,963,0,0.0,0,5099,2376,2723,1760,0.465974,1229,1494,0,2376,0.534026,2169.9,116.912,102.741,91.634,11.302,6.781,4.844,2.825
full,A,engine_priority_lru,,12,963,0,0.0,0,5099,1174,3925,2962,0.230241,1229,2696,0,1174,0.769759,3127.7,168.52,148.093,132.083,16.29,9.774,6.982,4.073
full,A,arc,,12,963,0,0.0,0,5099,2188,2911,1948,0.429104,1229,1682,0,2188,0.570896,2319.7,124.984,109.834,97.96,12.082,7.249,5.178,3.02
full,A,lfu,,12,963,0,0.0,0,5099,2374,2725,1762,0.465581,1229,1496,0,2374,0.534419,2171.5,116.998,102.816,91.701,11.31,6.786,4.847,2.827
full,A,freq_x_recency,,12,963,0,0.0,0,5099,2381,2718,1755,0.466954,1229,1489,0,2381,0.533046,2165.9,116.698,102.552,91.466,11.281,6.768,4.835,2.82
full,A,layer_lru,,12,963,0,0.0,0,5099,2352,2747,1801,0.461267,1229,1518,0,2352,0.538733,2189.0,117.943,103.647,92.442,11.401,6.841,4.886,2.85
full,A,cost_aware,,12,963,0,0.0,0,5099,2376,2723,1760,0.465974,1229,1494,0,2376,0.534026,2169.9,116.912,102.741,91.634,11.302,6.781,4.844,2.825
full,A,belady_cold,,12,963,0,0.0,0,5099,2735,2364,1401,0.53638,1229,1135,0,2735,0.46362,1883.8,101.499,89.196,79.553,9.812,5.887,4.205,2.453
full,B,freq_lru_warmup,0.5,12,963,0,0.0,266,5099,2086,3279,2316,0.4091,1229,2050,0,2086,0.643067,2613.0,140.784,123.719,110.344,13.609,8.165,5.832,3.402
full,B,freq_lru_warmup_s4,0.5,12,963,0,0.0,92,5099,2371,2820,1857,0.464993,1229,1591,0,2371,0.55305,2247.2,121.077,106.401,94.898,11.704,7.022,5.016,2.926
full,C,static_freq_prewarm,,12,963,963,11.99,0,5099,3698,1401,0,0.72524,716,685,513,3185,0.27476,1116.4,60.152,52.861,47.146,5.815,3.489,2.492,1.454
full,C,static_layer_freq_prewarm,,12,963,946,11.779,0,5099,3615,1484,0,0.708963,671,813,558,3057,0.291037,1182.6,63.716,55.993,49.939,6.159,3.696,2.64,1.54
full,C,freq_lru_prewarm,0.25,12,963,240,2.988,0,5099,2675,2424,1701,0.524613,1076,1348,153,2522,0.475387,1931.6,104.075,91.46,81.572,10.061,6.036,4.312,2.515
full,C,freq_lru_prewarm,0.5,12,963,481,5.989,0,5099,3016,2083,1601,0.591489,954,1129,275,2741,0.408511,1659.9,89.434,78.593,70.097,8.645,5.187,3.705,2.161
full,C,freq_lru_prewarm,0.75,12,963,722,8.99,0,5099,3372,1727,1486,0.661306,744,983,485,2887,0.338694,1376.2,74.149,65.161,58.117,7.168,4.301,3.072,1.792
full,C,freq_lru_prewarm,0.9,12,963,866,10.783,0,5099,3580,1519,1422,0.702098,744,775,485,3095,0.297902,1210.5,65.218,57.313,51.117,6.304,3.783,2.702,1.576
full,C,freq_lru_prewarm,0.99,12,963,953,11.866,0,5099,3688,1411,1401,0.723279,726,685,503,3185,0.276721,1124.4,60.581,53.238,47.483,5.856,3.514,2.51,1.464
full,C,lru_prewarm_topN,,12,963,963,11.99,0,5099,2718,2381,2381,0.533046,887,1494,342,2376,0.466954,1897.4,102.228,89.837,80.125,9.882,5.929,4.235,2.471
full,C,belady_same_state_prewarm,,12,963,963,11.99,0,5099,3698,1401,1401,0.72524,716,685,513,3185,0.27476,1116.4,60.152,52.861,47.146,5.815,3.489,2.492,1.454
full,C,belady_pin_same_state,0.25,12,963,240,2.988,0,5099,2975,2124,1401,0.583448,1076,1048,153,2822,0.416552,1692.6,91.194,80.14,71.476,8.815,5.289,3.778,2.204
full,C,belady_pin_same_state,0.5,12,963,481,5.989,0,5099,3216,1883,1401,0.630712,954,929,275,2941,0.369288,1500.5,80.847,71.047,63.366,7.815,4.689,3.349,1.954
full,C,belady_pin_same_state,0.75,12,963,722,8.99,0,5099,3457,1642,1401,0.677976,744,898,485,2972,0.322024,1308.5,70.499,61.954,55.256,6.815,4.089,2.921,1.704
full,C,belady_pin_same_state,0.9,12,963,866,10.783,0,5099,3601,1498,1401,0.706217,744,754,485,3116,0.293783,1193.7,64.317,56.521,50.41,6.217,3.73,2.665,1.554
full,C,belady_pin_same_state,0.99,12,963,953,11.866,0,5099,3688,1411,1401,0.723279,726,685,503,3185,0.276721,1124.4,60.581,53.238,47.483,5.856,3.514,2.51,1.464
full,A,lru,,16,1285,0,0.0,0,5099,2592,2507,1222,0.508335,1229,1278,0,2592,0.491665,1997.8,107.638,94.591,84.365,10.405,6.243,4.459,2.601
full,A,engine_priority_lru,,16,1285,0,0.0,0,5099,1738,3361,2076,0.340851,1229,2132,0,1738,0.659149,2678.3,144.305,126.813,113.104,13.949,8.37,5.978,3.487
full,A,arc,,16,1285,0,0.0,0,5099,2572,2527,1242,0.504413,1229,1298,0,2572,0.495587,2013.7,108.497,95.346,85.038,10.488,6.293,4.495,2.622
full,A,lfu,,16,1285,0,0.0,0,5099,2592,2507,1222,0.508335,1229,1278,0,2592,0.491665,1997.8,107.638,94.591,84.365,10.405,6.243,4.459,2.601
full,A,freq_x_recency,,16,1285,0,0.0,0,5099,2593,2506,1221,0.508531,1229,1277,0,2593,0.491469,1997.0,107.595,94.553,84.331,10.401,6.241,4.458,2.6
full,A,layer_lru,,16,1285,0,0.0,0,5099,2561,2538,1291,0.502255,1229,1309,0,2561,0.497745,2022.5,108.969,95.761,85.408,10.534,6.32,4.514,2.633
full,A,cost_aware,,16,1285,0,0.0,0,5099,2592,2507,1222,0.508335,1229,1278,0,2592,0.491665,1997.8,107.638,94.591,84.365,10.405,6.243,4.459,2.601
full,A,belady_cold,,16,1285,0,0.0,0,5099,2735,2364,1079,0.53638,1229,1135,0,2735,0.46362,1883.8,101.499,89.196,79.553,9.812,5.887,4.205,2.453
full,B,freq_lru_warmup,0.5,16,1285,0,0.0,0,5099,2517,2582,1297,0.493626,1229,1353,0,2517,0.506374,2057.5,110.858,97.421,86.889,10.716,6.43,4.593,2.679
full,B,freq_lru_warmup_s4,0.5,16,1285,0,0.0,180,5099,2572,2707,1422,0.504413,1229,1478,0,2572,0.530888,2157.1,116.225,102.137,91.095,11.235,6.741,4.815,2.809
full,C,static_freq_prewarm,,16,1285,1285,16.0,0,5099,4020,1079,0,0.78839,394,685,835,3185,0.21161,859.8,46.327,40.712,36.31,4.478,2.687,1.919,1.12
full,C,static_layer_freq_prewarm,,16,1285,1247,15.527,0,5099,3979,1120,0,0.780349,430,690,799,3180,0.219651,892.5,48.087,42.259,37.69,4.648,2.789,1.992,1.162
full,C,freq_lru_prewarm,0.25,16,1285,321,3.997,0,5099,2923,2176,1212,0.57325,1042,1134,187,2736,0.42675,1734.0,93.427,82.102,73.226,9.031,5.419,3.871,2.258
full,C,freq_lru_prewarm,0.5,16,1285,642,7.994,0,5099,3346,1753,1110,0.656207,821,932,408,2938,0.343793,1396.9,75.265,66.142,58.992,7.276,4.365,3.118,1.819
full,C,freq_lru_prewarm,0.75,16,1285,963,11.99,0,5099,3698,1401,1079,0.72524,716,685,513,3185,0.27476,1116.4,60.152,52.861,47.146,5.815,3.489,2.492,1.454
full,C,freq_lru_prewarm,0.9,16,1285,1156,14.394,0,5099,3891,1208,1079,0.763091,523,685,706,3185,0.236909,962.6,51.866,45.579,40.651,5.014,3.008,2.149,1.253
full,C,freq_lru_prewarm,0.99,16,1285,1272,15.838,0,5099,4007,1092,1079,0.78584,407,685,822,3185,0.21416,870.2,46.885,41.202,36.748,4.532,2.719,1.942,1.133
