gap_ms,bw_gibps,need_ms_per_record,gap_records_per_row,r,p,k,target_rows,emitted,emitted_correct,emitted_wrong,emit_recall_realized,emit_precision_realized,admitted,dropped_infeasible_at_emit,pf_completed,pf_hit_events,pf_used_keys,pf_completed_never_used,pred_correct_on_miss,ready_before_use_frac,conversions,survival_gains,pollution_extra_fills,fate_completed,fate_skipped_resident,fate_merged,fate_starved,fate_partial,fate_hopeless,fate_infeasible,device_outcome_mismatches,starved,partial_at_deadline,partial_ms_wasted,dropped_hopeless,hopeless_lastgap_skips,pending_depth_mean,pending_depth_max,gap_budget_utilization,host_evictions0,host_evictions1,pf_evictions0,pf_evictions1,evicted_live_pf0,evicted_live_pf1,completion_lead_rows_mean,lead_ms_nominal,decode_preads,preads_saved_net,ssd_gib_avoided_net,ssd_gib_converted_gross,ssd_gib_pollution_cost,device_misses0,device_misses1,extra_h2d_gib,decode_fill_wall_s,wall_saved_s,frac_of_oracle_bound
23.0,0.29,42.94,0.536,0.1,0.1,1,644,4180,418,3762,0.1082,0.1,0,4180,0,0,0,0,137,0.0,0,0,0,0,0,0,0,0,0,4180,0,0,0,0.0,0,0,0,0,0.0,678,411,0,0,0,0,0.0,102.7,1224,0,0.0,0.0,0.0,2284,2161,0.0,42.838,0.0,0.0
23.0,0.29,42.94,0.536,0.1,0.25,1,644,1672,418,1254,0.1082,0.25,0,1672,0,0,0,0,137,0.0,0,0,0,0,0,0,0,0,0,1672,0,0,0,0.0,0,0,0,0,0.0,678,411,0,0,0,0,0.0,102.7,1224,0,0.0,0.0,0.0,2284,2161,0.0,42.838,0.0,0.0
23.0,0.29,42.94,0.536,0.1,0.5,1,644,836,418,418,0.1082,0.5,0,836,0,0,0,0,137,0.0,0,0,0,0,0,0,0,0,0,836,0,0,0,0.0,0,0,0,0,0.0,678,411,0,0,0,0,0.0,102.7,1224,0,0.0,0.0,0.0,2284,2161,0.0,42.838,0.0,0.0
23.0,0.29,42.94,0.536,0.1,0.75,1,644,502,418,84,0.1082,0.8327,0,502,0,0,0,0,137,0.0,0,0,0,0,0,0,0,0,0,502,0,0,0,0.0,0,0,0,0,0.0,678,411,0,0,0,0,0.0,102.7,1224,0,0.0,0.0,0.0,2284,2161,0.0,42.838,0.0,0.0
23.0,0.29,42.94,0.536,0.1,1.0,1,644,418,418,0,0.1082,1.0,0,418,0,0,0,0,137,0.0,0,0,0,0,0,0,0,0,0,418,0,0,0,0.0,0,0,0,0,0.0,678,411,0,0,0,0,0.0,102.7,1224,0,0.0,0.0,0.0,2284,2161,0.0,42.838,0.0,0.0
23.0,0.29,42.94,0.536,0.25,0.1,1,644,9800,980,8820,0.2536,0.1,0,9800,0,0,0,0,316,0.0,0,0,0,0,0,0,0,0,0,9800,0,0,0,0.0,0,0,0,0,0.0,678,411,0,0,0,0,0.0,102.7,1224,0,0.0,0.0,0.0,2284,2161,0.0,42.838,0.0,0.0
23.0,0.29,42.94,0.536,0.25,0.25,1,644,3920,980,2940,0.2536,0.25,0,3920,0,0,0,0,316,0.0,0,0,0,0,0,0,0,0,0,3920,0,0,0,0.0,0,0,0,0,0.0,678,411,0,0,0,0,0.0,102.7,1224,0,0.0,0.0,0.0,2284,2161,0.0,42.838,0.0,0.0
23.0,0.29,42.94,0.536,0.25,0.5,1,644,1960,980,980,0.2536,0.5,0,1960,0,0,0,0,316,0.0,0,0,0,0,0,0,0,0,0,1960,0,0,0,0.0,0,0,0,0,0.0,678,411,0,0,0,0,0.0,102.7,1224,0,0.0,0.0,0.0,2284,2161,0.0,42.838,0.0,0.0
23.0,0.29,42.94,0.536,0.25,0.75,1,644,1284,980,304,0.2536,0.7632,0,1284,0,0,0,0,316,0.0,0,0,0,0,0,0,0,0,0,1284,0,0,0,0.0,0,0,0,0,0.0,678,411,0,0,0,0,0.0,102.7,1224,0,0.0,0.0,0.0,2284,2161,0.0,42.838,0.0,0.0
23.0,0.29,42.94,0.536,0.25,1.0,1,644,980,980,0,0.2536,1.0,0,980,0,0,0,0,316,0.0,0,0,0,0,0,0,0,0,0,980,0,0,0,0.0,0,0,0,0,0.0,678,411,0,0,0,0,0.0,102.7,1224,0,0.0,0.0,0.0,2284,2161,0.0,42.838,0.0,0.0
