codec,vram_gib,ram_gib,ssd_gbps,pcie_gbps,per_expert_bytes,vram_hit_rate,ram_hit_rate,combined_hit_rate,ssd_miss_rate,ssd_bytes_per_token,h2d_bytes_per_token,decode_combined_hit_rate,decode_ssd_bytes_per_token,decode_h2d_bytes_per_token,vram_evictions,ram_evictions,storage_only_ceiling_tps,warm_start
MXFP4,2,4,1,16.0,13369344,0.0,0.1759,0.1759,0.8241,3745198899.2,4544685670.4,0.2318,2649803980.8,3449290752.0,4939,4202,0.377,True
MXFP4,2,4,2,16.0,13369344,0.0,0.1759,0.1759,0.8241,3745198899.2,4544685670.4,0.2318,2649803980.8,3449290752.0,4939,4202,0.755,True
MXFP4,2,4,3.5,16.0,13369344,0.0,0.1759,0.1759,0.8241,3745198899.2,4544685670.4,0.2318,2649803980.8,3449290752.0,4939,4202,1.321,True
MXFP4,2,4,5,16.0,13369344,0.0,0.1759,0.1759,0.8241,3745198899.2,4544685670.4,0.2318,2649803980.8,3449290752.0,4939,4202,1.887,True
MXFP4,2,4,7,16.0,13369344,0.0,0.1759,0.1759,0.8241,3745198899.2,4544685670.4,0.2318,2649803980.8,3449290752.0,4939,4202,2.642,True
MXFP4,2,4,10,16.0,13369344,0.0,0.1759,0.1759,0.8241,3745198899.2,4544685670.4,0.2318,2649803980.8,3449290752.0,4939,4202,3.774,True
MXFP4_cold,2,4,,,13369344,0.0,0.1759,0.1759,0.8241,2553544704.0,3098649320.7272725,,,,4939,3881,,False
MXFP4,2,8,1,16.0,13369344,0.0,0.3542,0.3542,0.6458,2935016652.8,4544685670.4,0.4667,1839621734.4,3449290752.0,4939,3292,0.544,True
MXFP4,2,8,2,16.0,13369344,0.0,0.3542,0.3542,0.6458,2935016652.8,4544685670.4,0.4667,1839621734.4,3449290752.0,4939,3292,1.087,True
MXFP4,2,8,3.5,16.0,13369344,0.0,0.3542,0.3542,0.6458,2935016652.8,4544685670.4,0.4667,1839621734.4,3449290752.0,4939,3292,1.903,True
MXFP4,2,8,5,16.0,13369344,0.0,0.3542,0.3542,0.6458,2935016652.8,4544685670.4,0.4667,1839621734.4,3449290752.0,4939,3292,2.718,True
MXFP4,2,8,7,16.0,13369344,0.0,0.3542,0.3542,0.6458,2935016652.8,4544685670.4,0.4667,1839621734.4,3449290752.0,4939,3292,3.805,True
MXFP4,2,8,10,16.0,13369344,0.0,0.3542,0.3542,0.6458,2935016652.8,4544685670.4,0.4667,1839621734.4,3449290752.0,4939,3292,4.639,True
MXFP4_cold,2,8,,,13369344,0.0,0.3542,0.3542,0.6458,2001147717.8181818,3098649320.7272725,,,,4939,2651,,False
MXFP4,2,12,1,16.0,13369344,0.0,0.4185,0.4185,0.5815,2642673664.0,4544685670.4,0.5514,1547278745.6,3449290752.0,4939,2965,0.646,True
MXFP4,2,12,2,16.0,13369344,0.0,0.4185,0.4185,0.5815,2642673664.0,4544685670.4,0.5514,1547278745.6,3449290752.0,4939,2965,1.293,True
MXFP4,2,12,3.5,16.0,13369344,0.0,0.4185,0.4185,0.5815,2642673664.0,4544685670.4,0.5514,1547278745.6,3449290752.0,4939,2965,2.262,True
MXFP4,2,12,5,16.0,13369344,0.0,0.4185,0.4185,0.5815,2642673664.0,4544685670.4,0.5514,1547278745.6,3449290752.0,4939,2965,3.231,True
MXFP4,2,12,7,16.0,13369344,0.0,0.4185,0.4185,0.5815,2642673664.0,4544685670.4,0.5514,1547278745.6,3449290752.0,4939,2965,4.524,True
MXFP4,2,12,10,16.0,13369344,0.0,0.4185,0.4185,0.5815,2642673664.0,4544685670.4,0.5514,1547278745.6,3449290752.0,4939,2965,4.639,True
MXFP4_cold,2,12,,,13369344,0.0,0.4185,0.4185,0.5815,1801822952.7272727,3098649320.7272725,,,,4939,2002,,False
MXFP4,2,16,1,16.0,13369344,0.0,0.7099,0.7099,0.2901,1318217318.4,4544685670.4,0.6178,1318217318.4,3449290752.0,4939,1423,0.759,True
MXFP4,2,16,2,16.0,13369344,0.0,0.7099,0.7099,0.2901,1318217318.4,4544685670.4,0.6178,1318217318.4,3449290752.0,4939,1423,1.517,True
MXFP4,2,16,3.5,16.0,13369344,0.0,0.7099,0.7099,0.2901,1318217318.4,4544685670.4,0.6178,1318217318.4,3449290752.0,4939,1423,2.655,True
MXFP4,2,16,5,16.0,13369344,0.0,0.7099,0.7099,0.2901,1318217318.4,4544685670.4,0.6178,1318217318.4,3449290752.0,4939,1423,3.793,True
MXFP4,2,16,7,16.0,13369344,0.0,0.7099,0.7099,0.2901,1318217318.4,4544685670.4,0.6178,1318217318.4,3449290752.0,4939,1423,4.639,True
MXFP4,2,16,10,16.0,13369344,0.0,0.7099,0.7099,0.2901,1318217318.4,4544685670.4,0.6178,1318217318.4,3449290752.0,4939,1423,4.639,True
MXFP4_cold,2,16,,,13369344,0.0,0.4689,0.4689,0.5311,1645644706.909091,3098649320.7272725,,,,4939,1423,,False
MXFP4,2,20,1,16.0,13369344,0.0,0.7394,0.7394,0.2606,1184523878.4,4544685670.4,0.6566,1184523878.4,3449290752.0,4939,952,0.844,True
MXFP4,2,20,2,16.0,13369344,0.0,0.7394,0.7394,0.2606,1184523878.4,4544685670.4,0.6566,1184523878.4,3449290752.0,4939,952,1.688,True
MXFP4,2,20,3.5,16.0,13369344,0.0,0.7394,0.7394,0.2606,1184523878.4,4544685670.4,0.6566,1184523878.4,3449290752.0,4939,952,2.955,True
MXFP4,2,20,5,16.0,13369344,0.0,0.7394,0.7394,0.2606,1184523878.4,4544685670.4,0.6566,1184523878.4,3449290752.0,4939,952,4.221,True
MXFP4,2,20,7,16.0,13369344,0.0,0.7394,0.7394,0.2606,1184523878.4,4544685670.4,0.6566,1184523878.4,3449290752.0,4939,952,4.639,True
MXFP4,2,20,10,16.0,13369344,0.0,0.7394,0.7394,0.2606,1184523878.4,4544685670.4,0.6566,1184523878.4,3449290752.0,4939,952,4.639,True
MXFP4_cold,2,20,,,13369344,0.0,0.4983,0.4983,0.5017,1554490088.7272727,3098649320.7272725,,,,4939,952,,False
MXFP4,4,4,1,16.0,13369344,0.2577,0.0041,0.2618,0.7382,3354814054.4,3373531136.0,0.345,2259419136.0,2278136217.6,3464,3764,0.443,True
MXFP4,4,4,2,16.0,13369344,0.2577,0.0041,0.2618,0.7382,3354814054.4,3373531136.0,0.345,2259419136.0,2278136217.6,3464,3764,0.885,True
MXFP4,4,4,3.5,16.0,13369344,0.2577,0.0041,0.2618,0.7382,3354814054.4,3373531136.0,0.345,2259419136.0,2278136217.6,3464,3764,1.549,True
MXFP4,4,4,5,16.0,13369344,0.2577,0.0041,0.2618,0.7382,3354814054.4,3373531136.0,0.345,2259419136.0,2278136217.6,3464,3764,2.213,True
MXFP4,4,4,7,16.0,13369344,0.2577,0.0041,0.2618,0.7382,3354814054.4,3373531136.0,0.345,2259419136.0,2278136217.6,3464,3764,3.098,True
